Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",17,6,0,33,33,190.1,11.06479889463298,1.6077058222971,0.6147110497018323,0.2737306843267108,0.74165637,0.487012987,0.084415584,96.45831010624345,2.553415129530688,,2.310876004697346,2.662651211941762,6.676890850067139,"Tarik Skubal",22267,669373
"Justin Steele","CHC",17,8,0,43,43,252.2,9.011873713747441,1.9234829270449083,0.7836411924997775,0.29512893982808025,0.71975498,0.47733711,0.098654708,,3.0277046073855036,,3.116517752115268,3.3808421074517545,6.430431246757507,"Justin Steele",17312,657006
"Framber Valdez","HOU",19,16,0,46,46,289.1,8.460829641822597,2.7373272370602524,0.8398617659162138,0.2895408163265306,0.71741855,0.563591022,0.145945945,95.64213562011719,3.577189002976466,,3.628108772792979,3.438862013239789,5.455981254577637,"Framber Valdez",17295,664285
"Chris Sale","- - -",17,8,0,36,36,202.1,11.209225981942692,2.1350906632271798,0.9785832206457907,0.28661087866108786,0.72938689,0.425101214,0.116402116,94.48739414934565,3.5140033832280664,,3.0385946868361615,3.0956993779007744,5.404546737670898,"Chris Sale",10603,519242
"Cole Ragans","- - -",12,11,0,48,31,205.2,10.808752560546111,3.4132902822777194,0.6564019773610998,0.2925851703406814,0.72972973,0.418145956,0.078947368,96.28388776881721,3.369530150453646,,2.9502922153224764,3.4292751935305454,5.36877416074276,"Cole Ragans",21846,666142
"Ranger Suárez","PHI",14,9,0,40,40,233,8.690987409042798,2.7424893601868385,0.8497854355508513,0.30077519379844964,0.75607903,0.506849315,0.117647058,92.95530805987822,3.437768352910262,,3.5145705295785463,3.5516535994235268,5.125162363052368,"Ranger Suarez",17277,624133
"Cristopher Sánchez","PHI",9,9,0,36,35,196.2,8.145763133201632,1.9677967119532032,0.8237288561664572,0.2971014492753623,0.7199211,0.582300884,0.144,,3.203389996202889,,3.2927270252708616,3.1008172561936616,4.768078384920955,"Cristopher Sanchez",20778,650911
"Jordan Montgomery","- - -",16,16,0,45,45,254.1,7.466579441587104,2.512450902145424,0.9200524430391692,0.3119266055045872,0.71050892,0.433503836,0.096296296,92.864221343361,4.0340760964025115,,3.786649200034021,4.153408982426168,4.736298203468323,"Jordan Montgomery",16511,656756
"Yusei Kikuchi","TOR",15,14,0,50,50,261.2,9.596178717009087,2.4420383114969364,1.3757962318292598,0.3191489361702128,0.76408451,0.404891304,0.142348754,95.32937576970443,3.9554141665091223,,3.937992601157112,3.648166890795883,4.442087173461914,"Yusei Kikuchi",20633,579328
"Jesús Luzardo","MIA",13,16,0,44,44,245.1,9.758152679679325,2.824728407275594,1.1372283198122521,0.3033175355450237,0.72562358,0.392694063,0.116104868,96.48829563766114,3.961956727087846,,3.7446502077712718,3.8405019206593862,4.289302945137024,"Jesus Luzardo",19959,666200
"Blake Snell","- - -",14,12,0,38,38,203.2,11.710311111853656,4.993453417507408,0.839607211793281,0.2782608695652174,0.80454928,0.44117647,0.114457831,95.70575656741022,3.093289727659456,,3.578665985405374,3.6864701913067646,4.2103990241885185,"Blake Snell",13543,605483
