Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI",22,10,0,50,50,303.2,9.810098874692772,2.1339187884528084,0.8891328285220035,0.2755102040816326,0.73287671,0.414814814,0.097402597,95.78808871445497,3.2897914655314127,,3.1962489091845483,3.520321018802486,8.722484111785889,"Zack Wheeler",10310,554430
"Logan Webb","SFG",18,19,0,52,52,335.1,7.971173083131658,1.5566600633725125,0.6709741652467727,0.30979978925184404,0.73638968,0.604747162,0.121359223,92.69386011240434,3.193837026574638,,3.0029643767667413,3.004936032916257,7.880489349365234,"Logan Webb",17995,657277
"Sonny Gray","- - -",17,13,0,48,48,276.2,9.693975992721889,2.569879541694729,0.520481932495135,0.29322268326417705,0.73137389,0.467852257,0.069264069,92.84213398972602,2.96024099106608,,2.7664505151922945,3.3404210664402236,7.8664398193359375,"Sonny Gray",12768,543243
"George Kirby","SEA",20,16,0,50,50,302.1,8.364939712345233,0.893054061816217,0.9823594679978388,0.289906103286385,0.74046921,0.423033067,0.097633136,96.11214370333141,3.3638369661744174,,3.169528767382216,3.5131993128759147,7.404730319976807,"George Kirby",25436,669923
"Kevin Gausman","TOR",18,17,0,49,49,282,10.787234042553191,2.617021276595745,1.053191489361702,0.3209366391184573,0.73011734,0.407456724,0.113793103,94.40957857666527,3.6702127659574466,,3.274335118557545,3.374599295336727,6.751001477241516,"Kevin Gausman",14107,592332
"Zac Gallen","ARI",23,13,0,47,47,277.2,9.432172955536338,2.1392557218742208,0.9075630335223966,0.2975206611570248,0.74421965,0.420772303,0.106463878,93.53069941847075,3.370948410226045,,3.2263346234446852,3.4375675644234645,6.62543797492981,"Zac Gallen",19291,668678
"Zach Eflin","TBR",21,13,0,47,47,270,8.6,1.0666666666666667,1.0666666666666667,0.2943495400788436,0.71716358,0.469987228,0.115107913,92.98832675291219,3.7333333333333334,,3.26560661811802,3.342810182408667,6.206434607505798,"Zach Eflin",13774,621107
"Tyler Glasnow","- - -",18,12,0,39,39,229,11.986899563318778,2.593886462882096,0.982532751091703,0.2729044834307992,0.69543147,0.49812734,0.142045454,96.46890852885225,3.497816593886463,,2.8462294066316693,2.6239421922827386,6.158553123474121,"Tyler Glasnow",14374,607192
"Pablo López","MIN",19,15,0,50,50,293,10.750853242320819,2.150170648464164,1.2593856655290103,0.3117408906882591,0.724882,0.432816537,0.140410958,94.82667504109385,4.177474402730375,,3.494851452824199,3.250370067002017,6.030929207801819,"Pablo Lopez",17085,641154
"Dylan Cease","- - -",14,17,0,52,52,286,11.076923372413352,3.5244756184951576,1.0699300984717441,0.3125,0.68779904,0.355704697,0.109677419,96.18124296171172,4.437063055426939,,3.595537894688677,3.7576957711981898,5.887904167175293,"Dylan Cease",18525,656302
"Corbin Burnes","- - -",19,11,0,50,50,306.1,8.960827357811139,2.673558326428897,0.9989119021822253,0.24905183312262957,0.77549575,0.458536585,0.121428571,95.49458821614583,2.996735706546676,,3.6436979182289937,3.642794232844312,5.882099390029907,"Corbin Burnes",19361,669203
"Aaron Nola","PHI",22,13,0,50,50,307.1,9.048807315818443,2.0498916249426897,1.4056399713892729,0.2727272727272727,0.69141194,0.435897435,0.154340836,92.72569186478455,4.0997832498853795,,3.9447492536332165,3.5197056950224717,5.761480331420898,"Aaron Nola",16149,605400
"Seth Lugo","- - -",19,10,0,45,45,268.1,8.385093326641455,2.180124264926778,0.9726708258904087,0.2828146143437077,0.80324245,0.442408376,0.108208955,93.27070017812238,2.9515528509777917,,3.5838672937206377,3.73868779907047,5.540396451950073,"Seth Lugo",12447,607625
"Spencer Strider","ATL",20,5,0,34,34,195.2,13.477002404234197,2.8977854998865338,1.1039182856710605,0.3173076923076923,0.69958848,0.343963553,0.125,97.35818534144427,4.001703785557594,,2.9545593079506944,2.971336398040778,5.529839380644262,"Spencer Strider",27498,675911
"Logan Gilbert","SEA",18,12,0,50,50,308.1,8.66918954670631,1.7513514235770322,1.2259459965039226,0.2582619339045288,0.75910147,0.420681551,0.122448979,95.94182757816982,3.415135275975213,,3.6883946950139848,3.677188909776743,5.403574466705322,"Logan Gilbert",22250,669302
"Luis Castillo","SEA",21,18,0,52,52,308.1,9.632432591328927,2.568648691021047,1.2551351558398298,0.27341772151898736,0.76582709,0.379393939,0.121468926,96.09299225415357,3.4735135708125524,,3.819936829077352,3.819819452805895,5.200011372566223,"Luis Castillo",15689,622491
"Tanner Bibee","CLE",17,7,0,43,43,240,9.6,2.5875,0.9375,0.2900158478605388,0.77689243,0.372307692,0.091575091,94.90100875686814,3.2625,,3.414844051996867,3.851330853998661,5.197726726531982,"Tanner Bibee",30134,676440
"Kyle Bradish","BAL",14,7,0,38,38,208,9.562500526125643,2.5528847558434977,0.6923077303982367,0.2713472485768501,0.78896418,0.501851851,0.096969696,,2.8125001547428363,,3.122970110939733,3.4080796037440213,5.120781660079956,"Kyle Bradish",24586,680694
"Mitch Keller","PIT",23,14,0,50,50,305.2,9.186477950217077,2.4143948458903854,1.0599782250250471,0.3069657615112161,0.73588135,0.424173318,0.118032786,95.05863824031891,3.9160306646758687,,3.7430766088272875,3.7846241798522624,5.118339419364929,"Mitch Keller",17594,656605
"Gerrit Cole","NYY",16,5,0,37,37,226.1,9.583210657668701,2.2268041362217725,0.9941089893847199,0.2671353251318102,0.79710145,0.386440677,0.104166666,96.73855848783892,2.942562608578771,,3.4161769375323408,3.709126067838243,5.035088703036308,"Gerrit Cole",13125,543037
"Freddy Peralta","MIL",18,14,0,48,48,263.2,11.40075897335468,3.072060801203357,1.3312263471881214,0.2761437908496732,0.74203574,0.407465007,0.147169811,94.50970793776371,3.891277014857586,,3.794937546698345,3.4570301461362036,4.867053270339966,"Freddy Peralta",18679,642547
"Joe Ryan","MIN",17,15,0,47,47,271,10.461255201572275,1.660516698662266,1.5940960307157752,0.2884333821376281,0.74852817,0.324585635,0.137931034,92.90611340618337,4.018450410762683,,3.861508586599963,3.585641916485904,4.678731918334961,"Joe Ryan",21390,657746
"Chris Bassitt","TOR",23,15,0,51,51,302.1,8.335171033279622,2.976846797599865,1.0716648471359513,0.291866028708134,0.76878944,0.422453703,0.114285714,92.55473175941155,3.542447689143839,,4.101690422064598,4.20942804191457,4.536172866821289,"Chris Bassitt",12304,605135
"Miles Mikolas","STL",16,20,0,54,54,308.1,6.188108210187068,1.6637838112295418,1.138378397157055,0.3034623217922607,0.67351598,0.39546351,0.099489795,93.46823001217533,4.816216295664463,,4.155230958683993,4.5313492498356,4.5165696144104,"Miles Mikolas",9803,571945
"Kutter Crawford","BOS",11,15,0,50,42,236.1,9.253878901555693,2.5133992078299414,1.1805359915564875,0.2630718954248366,0.72573464,0.346938775,0.10064935,93.42239086573734,3.6558533932071873,,3.8286317547924096,4.165091925663841,4.454258978366852,"Kutter Crawford",20531,676710
"Tanner Houck","BOS",13,16,0,39,39,217,8.502304147465438,2.654377880184332,0.7880184331797235,0.288961038961039,0.68438003,0.541269841,0.115853658,94.11414207846431,3.815668202764977,,3.537094829928491,3.5786798539112246,4.38945734500885,"Tanner Houck",19879,656557
"Hunter Greene","CIN",9,11,0,40,40,216.1,11.149460970920298,3.7858244341557725,1.1648690566633146,0.3028571428571429,0.74287914,0.343119266,0.109375,98.28438302404295,4.160246630940409,,3.970575320386862,4.132807173498118,4.332921624183655,"Hunter Greene",22182,668881
"Michael Wacha","- - -",19,10,0,39,39,218.2,8.190549161517872,2.8399391565061967,0.9466463855020656,0.2751235584843493,0.77319588,0.364649681,0.089494163,92.77116973784194,3.416158695507454,,3.797229912167409,4.290396510227309,4.223202586174011,"Michael Wacha",14078,608379
"Nathan Eovaldi","TEX",18,8,0,40,40,231,8.454545454545455,2.844155844155844,0.974025974025974,0.2608695652173913,0.76419214,0.501612903,0.123762376,95.4353086890244,3.4285714285714284,,3.827869279869707,3.8012516039145456,3.905763864517212,"Nathan Eovaldi",9132,543135
"Jack Flaherty","- - -",13,14,0,44,42,233.1,10.144285935413599,3.0857143529775204,1.1571428823665701,0.33878887070376434,0.74137931,0.431711145,0.146341463,93.41237174595841,4.320000094168529,,3.859956125094077,3.5813418376261152,3.8894954435527325,"Jack Flaherty",17479,656427
"Reese Olson","DET",8,15,0,38,35,198.2,8.697986688524114,2.7634228541665156,0.8607382660518654,0.2735674676524954,0.69133398,0.46953405,0.102150537,94.6514707100265,3.624161120218381,,3.5047933514454606,3.728361297502322,3.8506825864315033,"Reese Olson",24968,681857
"Michael King","- - -",11,13,6,68,27,209.2,10.602544572182584,3.1335455618191443,1.0302067600501297,0.29770992366412213,0.79063604,0.406654343,0.1182266,94.19514969073568,3.1335455618191443,,3.487481882785991,3.4980636698964416,3.8431574925780296,"Michael King",19853,650633
"Bailey Ober","MIN",16,10,0,43,43,238.1,9.2895106877576,1.9636364055422568,1.397202827020452,0.2754098360655738,0.76208178,0.334890965,0.117088607,91.57226681957187,3.700699379675792,,3.9545053938104595,4.027905535727404,3.767094373703003,"Bailey Ober",21224,641927
"Grayson Rodriguez","BAL",18,7,0,39,39,216.2,9.720000456355189,2.9907693711862122,1.0800000507061323,0.3146853146853147,0.74416734,0.42881072,0.119266055,96.94354538690476,3.9876924949149495,,3.710334254448658,3.72047680747946,3.7025591135025024,"Grayson Rodriguez",24492,680570
