Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","David Peralta","SDP",6,9,7,3,2,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0.428571428,2136
"Total","Carlos Santana","MIN",41,76,71,21,12,4,0,5,12,14,4,0,13,1,0,0,3,0,0,0.295774647,2396
"Total","Tommy Pham","CHW",26,56,46,11,7,2,0,2,7,4,9,0,13,1,0,0,0,2,0,0.239130434,2967
"Total","Anthony Rizzo","NYY",36,69,65,13,12,1,0,0,3,2,1,0,12,2,1,0,1,0,0,0.2,3473
"Total","Jason Heyward","LAD",5,7,7,1,0,0,0,1,1,1,0,0,4,0,0,0,0,0,0,0.142857142,4940
"Total","Giancarlo Stanton","NYY",31,67,64,15,9,3,0,3,7,7,3,0,18,0,0,0,1,0,0,0.234375,4949
"Total","Justin Turner","TOR",30,61,54,16,10,6,0,0,4,8,6,0,10,0,1,0,1,0,1,0.296296296,5235
"Total","Robbie Grossman","2 Tms",31,75,61,17,12,3,0,2,9,10,13,0,13,0,1,0,2,2,0,0.278688524,5254
"Total","Aaron Hicks","LAA",9,16,15,3,2,0,0,1,2,2,1,0,5,0,0,0,1,0,0,0.2,5297
"Total","Brandon Crawford","STL",8,9,8,1,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0.125,5343
"Total","Freddie Freeman","LAD",60,126,107,27,18,5,1,3,11,12,13,1,17,4,2,0,6,3,0,0.252336448,5361
"Total","Jose Altuve","HOU",42,95,87,30,23,4,0,3,15,8,6,1,17,2,0,0,1,5,1,0.344827586,5417
"Total","Kyle Higashioka","SDP",24,48,45,11,5,1,1,4,6,11,3,0,14,0,0,0,0,0,0,0.244444444,5517
"Total","Avisail Garcia","MIA",13,32,31,8,6,1,0,1,3,1,1,0,8,0,0,0,2,0,0,0.258064516,5760
"Total","Wilmer Flores","SFG",41,98,87,18,10,6,0,2,6,15,8,1,11,0,3,0,0,0,0,0.206896551,5827
"Total","J.D. Martinez","NYM",32,76,62,19,12,3,0,4,11,17,12,0,16,2,0,0,1,0,0,0.306451612,6184
"Total","Martin Maldonado","CHW",25,42,38,2,1,0,0,1,2,3,2,0,16,0,0,2,2,0,0,0.052631578,6887
"Total","Salvador Perez","KCR",41,81,75,21,16,3,0,2,7,10,5,2,15,1,0,0,1,0,0,0.28,7304
"Total","Travis d'Arnaud","ATL",24,46,43,12,6,2,0,4,6,9,1,0,10,1,1,0,1,0,0,0.279069767,7739
"Total","Miguel Rojas","LAD",32,67,61,17,9,6,0,2,6,8,6,0,4,0,0,0,3,4,0,0.278688524,7802
"Total","Charlie Blackmon","COL",36,55,48,13,9,4,0,0,3,3,5,0,3,2,0,0,1,1,1,0.270833333,7859
"Total","Matt Carpenter","STL",13,16,14,5,5,0,0,0,0,3,1,0,4,1,0,0,0,0,0,0.357142857,8090
"Total","Ehire Adrianza","LAA",4,9,9,2,1,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0.222222222,8418
"Total","Donovan Solano","SDP",34,71,63,19,14,3,0,2,4,6,8,0,12,0,0,0,1,0,0,0.301587301,8623
"Total","Paul Goldschmidt","STL",49,98,87,23,18,4,0,1,15,7,9,0,21,1,0,0,1,3,0,0.264367816,9218
"Total","Starling Marte","NYM",32,72,67,22,15,4,1,2,12,9,4,0,17,1,0,0,0,2,0,0.328358208,9241
"Total","Yan Gomes","CHC",12,15,14,1,1,0,0,0,1,1,1,0,6,0,0,0,0,0,0,0.071428571,9627
"Total","Christian Vazquez","MIN",27,51,49,11,8,2,0,1,6,5,1,0,9,0,1,0,1,2,0,0.224489795,9774
"Total","Nolan Arenado","STL",44,84,80,21,15,4,0,2,10,11,1,0,6,1,2,0,2,0,0,0.2625,9777
"Total","Andrew McCutchen","PIT",43,93,80,15,10,2,0,3,13,6,10,0,25,3,0,0,1,0,0,0.1875,9847
"Total","DJ LeMahieu","NYY",18,37,31,4,4,0,0,0,2,2,5,0,4,0,1,0,1,0,0,0.129032258,9874
"Total","Christian Bethancourt","MIA",15,26,25,5,3,1,0,1,3,1,1,0,6,0,0,0,1,0,0,0.2,10028
"Total","Mike Trout","LAA",9,17,13,1,1,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0.076923076,10155
"Total","Tucker Barnhart","ARI",20,33,30,3,2,1,0,0,5,1,2,0,13,0,0,1,0,0,0,0.1,10200
"Total","Jose Iglesias","NYM",18,37,34,13,8,5,0,0,6,4,2,1,4,1,0,0,0,1,0,0.382352941,10231
"Total","Randal Grichuk","ARI",50,97,85,26,17,7,1,1,10,15,7,0,13,3,2,0,2,0,0,0.305882352,10243
"Total","Rafael Ortega","CHW",2,5,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0.2,10323
"Total","Marcell Ozuna","ATL",40,101,85,32,20,7,0,5,16,22,16,0,24,0,0,0,2,0,0,0.376470588,10324
