Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Adam Ottavino","NYM",31,55,5.25,11,2,1,8,7,2,6,0,2,16,0.239130434,0.345454545,0.456521739,0.34818770451979203,1247
"Total","Matt Moore","LAA",32,57,5.92682927,10,1,0,10,9,4,7,0,0,9,0.2,0.298245614,0.46,0.3294020546110053,1890
"Total","Lance Lynn","STL",17,81,6.23076923,17,5,0,15,12,5,10,0,1,24,0.242857142,0.345679012,0.528571428,0.37591180315724126,2520
"Total","Kenley Jansen","BOS",26,58,1.22727273,12,2,0,2,2,0,5,1,0,18,0.23076923,0.293103448,0.269230769,0.24807890047106826,3096
"Total","Max Scherzer","TEX",3,13,0,0,0,0,0,0,0,1,0,0,3,0,0.076923076,0,0.05318010770357572,3137
"Total","T.J. McFarland","OAK",37,65,1.03846154,14,4,0,2,2,1,2,0,1,13,0.225806451,0.261538461,0.338709677,0.2642925693438603,3237
"Total","Justin Wilson","CIN",26,48,6.0967742,13,2,0,7,7,2,3,0,1,16,0.302325581,0.354166666,0.488372093,0.3627275712788105,4301
"Total","Charlie Morton","ATL",16,83,4.32,14,3,0,8,8,1,12,0,9,24,0.233333333,0.426829268,0.333333333,0.35973168582451054,4676
"Total","Jake Diekman","NYM",31,56,2.18918919,7,1,0,5,3,0,10,0,2,12,0.166666666,0.345454545,0.19047619,0.2714834603396329,5003
"Total","Aaron Hicks","LAA",1,4,0,1,0,0,0,0,0,1,0,0,0,0.333333333,0.5,0.333333333,0.3941717594861984,5297
"Total","Jesse Chavez","ATL",23,58,0.675,12,0,1,1,1,1,8,1,0,9,0.244897959,0.350877192,0.346938775,0.30989048523562296,5448
"Total","Ryan Brasier","LAD",10,18,4.9090909,6,0,0,2,2,1,1,0,0,3,0.352941176,0.388888888,0.529411764,0.39890610840585494,5615
"Total","Huascar Brazoban","MIA",12,38,2.07692308,7,0,0,2,2,0,6,0,0,9,0.21875,0.342105263,0.21875,0.2722491543543966,6107
"Total","Albert Suarez","BAL",16,54,1.42105263,10,4,1,3,2,1,6,0,0,10,0.208333333,0.296296296,0.395833333,0.303588937830042,6175
"Total","Jose Cisnero","LAA",10,25,17.18181817,10,1,0,7,7,2,4,0,0,7,0.476190476,0.56,0.809523809,0.57392413854599,6399
"Total","Carlos Carrasco","CLE",15,71,4.69565217,17,5,1,8,8,1,10,0,0,18,0.278688524,0.38028169,0.44262295,0.3624236583709717,6632
"Total","Craig Kimbrel","BAL",36,66,2.59615385,7,1,0,5,5,2,7,0,2,29,0.122807017,0.242424242,0.245614035,0.23047508434815842,6655
"Total","Julio Teheran","NYM",1,4,0,0,0,0,0,0,0,1,0,0,1,0,0.25,0,0.1728353500366211,6797
"Total","Chase Anderson","BOS",20,71,2.45454545,12,1,0,5,5,2,4,0,0,12,0.181818181,0.228571428,0.287878787,0.2302684962749481,6895
"Total","Martin Perez","PIT",11,23,1.6875,5,1,0,1,1,0,0,0,1,7,0.227272727,0.260869565,0.272727272,0.2402109840641851,6902
"Total","Luis Garcia","LAA",33,69,6.06122449,13,2,0,11,11,2,8,0,2,18,0.224137931,0.333333333,0.362068965,0.3129023598588031,6984
"Total","Ryan Pressly","HOU",32,70,1.62,17,5,0,5,3,0,5,0,0,22,0.261538461,0.314285714,0.338461538,0.2912149003573826,7005
"Total","Fernando Cruz","CIN",35,76,5.71153846,15,5,0,11,11,4,12,1,0,23,0.234375,0.355263157,0.5,0.3662663873036702,7048
"Total","Daniel Hudson","LAD",33,61,1.01886792,9,3,0,3,2,2,1,1,0,18,0.15,0.163934426,0.3,0.1908062716325124,7146
"Total","Jay Jackson","MIN",16,49,7.83870968,15,0,1,11,9,5,4,0,0,12,0.333333333,0.387755102,0.711111111,0.4621114037474807,7432
"Total","Jordan Lyles","KCR",3,6,0,1,1,0,0,0,0,1,0,0,1,0.2,0.333333333,0.4,0.3253631790479024,7593
"Total","Hunter Strickland","LAA",30,47,2.31428571,8,3,0,3,3,0,5,0,0,7,0.19047619,0.276595744,0.261904761,0.24821166408822892,7836
"Total","Will Smith","KCR",26,47,0.71052632,9,1,0,2,1,1,1,0,0,10,0.195652173,0.212765957,0.282608695,0.21727316810729655,8048
