Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Adam Ottavino","NYM",32,82,3.91935484,13,2,0,10,9,1,6,0,2,26,0.178082191,0.259259259,0.246575342,0.23494673216784442,1247
"Total","Matt Moore","LAA",37,91,4.35483871,18,2,0,12,10,4,10,0,1,16,0.227848101,0.322222222,0.405063291,0.322564787334866,1890
"Total","Lance Lynn","STL",17,72,1.62,17,2,0,6,3,0,3,0,1,11,0.253731343,0.291666666,0.283582089,0.2583127294977506,2520
"Total","Kenley Jansen","BOS",29,63,2.87234042,9,3,0,5,5,0,6,0,1,15,0.166666666,0.253968253,0.222222222,0.22167091521005783,3096
"Total","Max Scherzer","TEX",3,14,0,1,0,0,0,0,0,1,0,0,4,0.076923076,0.142857142,0.076923076,0.11262050271034241,3137
"Total","T.J. McFarland","OAK",31,65,7.36363636,15,2,0,13,12,2,7,3,1,9,0.263157894,0.353846153,0.403508771,0.3205315499536453,3237
"Total","Justin Wilson","CIN",22,45,4.35483871,12,2,0,5,5,1,2,0,1,11,0.285714285,0.333333333,0.404761904,0.32571870353486804,4301
"Total","Charlie Morton","ATL",16,61,4.10869565,15,6,0,7,7,2,4,0,0,16,0.263157894,0.311475409,0.47368421,0.3385621612189246,4676
"Total","Jake Diekman","NYM",33,62,8.1,10,3,1,14,12,4,12,0,1,18,0.208333333,0.370967741,0.5625,0.39386573530012564,5003
"Total","Aaron Hicks","LAA",1,2,54.00000054,1,0,0,2,2,1,0,0,0,0,0.5,0.5,2,1.0311201810836792,5297
"Total","Jesse Chavez","ATL",26,81,2.14285714,16,3,0,8,5,3,2,0,1,22,0.210526315,0.234567901,0.368421052,0.2583704406832471,5448
"Total","Ryan Brasier","LAD",10,22,6,3,0,0,4,4,2,2,0,0,7,0.15,0.227272727,0.45,0.2905685982920907,5615
"Total","Huascar Brazoban","MIA",13,42,4.5,5,1,1,7,5,0,3,0,2,15,0.135135135,0.238095238,0.216216216,0.21511771991139367,6107
"Total","Albert Suarez","BAL",18,81,3.85714286,19,6,0,8,8,2,6,0,0,14,0.263888888,0.3125,0.430555555,0.3197044648230076,6175
"Total","Jose Cisnero","LAA",12,32,1.03846154,5,0,0,3,1,1,1,0,1,6,0.172413793,0.225806451,0.275862068,0.22637408779513452,6399
"Total","Carlos Carrasco","CLE",15,64,3.17647059,12,6,0,6,6,2,4,0,0,14,0.206896551,0.253968253,0.413793103,0.2856548400152297,6632
"Total","Craig Kimbrel","BAL",35,69,1.58823529,10,2,0,5,3,0,7,0,2,23,0.169491525,0.275362318,0.20338983,0.23027674011562183,6655
"Total","Julio Teheran","NYM",1,5,0,2,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0.35413825511932373,6797
