Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani","- - -",223,1002,72,174,160,40,0.138722554,0.229540918,0.338862559,0.343065693,0.308056872,0.407035175,0.646919431,0.43384507402931294,,182.84941631139716,5.169201964861713,103.60433283117447,-23.98147931881249,11.530067062292975,"Shohei Ohtani",19755,660271
"Freddie Freeman","LAD",252,1129,42,186,160,27,0.111603188,0.161204605,0.2249742,0.35629139,0.320949432,0.408325952,0.545923632,0.4033436343476579,,160.88187400348488,2.257527091540396,85.80822249773793,-12.752990901470184,11.22108464710106,"Freddie Freeman",5361,518692
"Juan Soto","- - -",250,1106,56,168,172,16,0.188065099,0.172694394,0.25,0.298761609,0.281674208,0.41719457,0.531674208,0.40483181737022816,,163.67071102587767,-2.601905216812156,82.41364360899288,-8.98524283641018,11.182546487251544,"Juan Soto",20123,665742
"Gunnar Henderson","BAL",239,1028,55,176,143,24,0.100194552,0.246108949,0.263446762,0.314144736,0.27003293,0.348249027,0.533479692,0.37440717882580227,,144.14201236401635,8.572259977459908,62.00869689146647,11.11003414663719,10.95548641740303,"Gunnar Henderson",26289,683002
"Corey Seager","TEX",197,871,50,130,141,3,0.096440872,0.169919632,0.263565891,0.320754716,0.30620155,0.375430539,0.569767441,0.3948842695581983,,153.78388490534107,-5.364741810597479,50.46550141309009,4.826569840544835,8.515954065973592,"Corey Seager",13624,608369
"Kyle Tucker","HOU",217,936,48,139,152,40,0.134615384,0.142094017,0.256345177,0.278317152,0.279187817,0.376077586,0.535532994,0.3843444914339934,,149.1152934729528,4.480091016739607,58.98595673668933,-10.241455239243805,8.128162566360425,"Kyle Tucker",18345,663656
"Bryce Harper","PHI",202,882,41,136,130,15,0.143990929,0.216553287,0.233870968,0.347490347,0.29704301,0.400226757,0.530913978,0.39462303406371807,,152.49377748562281,0.15493984039130737,55.88642168111565,-12.751792228780687,7.4215251847739365,"Bryce Harper",11579,547180
"Brandon Nimmo","NYM",236,1053,38,145,123,11,0.114909781,0.224121557,0.195580111,0.319685039,0.266298342,0.365019011,0.461878453,0.35994291384939237,,133.84613670544294,-1.8547163625480607,41.24662805570358,-5.656750086462125,7.213280491884515,"Brandon Nimmo",12927,607043
"Matt Olson","ATL",251,1093,67,166,181,1,0.127172918,0.246111619,0.272921109,0.302631578,0.267590618,0.365965233,0.540511727,0.382728604948972,,142.94259550616044,-2.5033389769960195,55.40393858647456,-20.613617518247338,7.183183287603203,"Matt Olson",14344,621566
"Yordan Alvarez","HOU",200,870,50,133,147,4,0.122988505,0.168965517,0.270748299,0.306422018,0.295238095,0.396551724,0.565986394,0.4053232923689078,,164.29787732063272,-6.056529849302024,60.32948713102817,-20.71853185025975,6.95279686214463,"Yordan Alvarez",19556,670541
