Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","David Peralta","SDP",6,9,7,3,2,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0.428571428,2136
"Total","Carlos Santana","MIN",48,90,84,26,14,6,0,6,13,17,5,0,15,1,0,0,3,0,0,0.309523809,2396
"Total","Tommy Pham","CHW",29,61,51,13,7,3,1,2,9,4,9,0,14,1,0,0,0,2,0,0.25490196,2967
"Total","Anthony Rizzo","NYY",36,69,65,13,12,1,0,0,3,2,1,0,12,2,1,0,1,0,0,0.2,3473
"Total","Jason Heyward","LAD",6,8,8,1,0,0,0,1,1,1,0,0,4,0,0,0,0,0,0,0.125,4940
"Total","Giancarlo Stanton","NYY",31,67,64,15,9,3,0,3,7,7,3,0,18,0,0,0,1,0,0,0.234375,4949
"Total","Justin Turner","TOR",32,65,58,17,11,6,0,0,4,8,6,0,10,0,1,0,1,0,1,0.293103448,5235
"Total","Robbie Grossman","2 Tms",36,82,67,19,13,3,0,3,11,11,14,0,14,0,1,0,2,2,0,0.283582089,5254
"Total","Aaron Hicks","LAA",9,16,15,3,2,0,0,1,2,2,1,0,5,0,0,0,1,0,0,0.2,5297
"Total","Brandon Crawford","STL",9,10,9,1,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0.111111111,5343
"Total","Freddie Freeman","LAD",67,144,122,30,18,6,1,5,14,19,15,1,19,4,3,0,6,3,0,0.245901639,5361
"Total","Jose Altuve","HOU",46,109,101,35,26,6,0,3,17,10,6,1,20,2,0,0,2,5,1,0.346534653,5417
"Total","Kyle Higashioka","SDP",27,56,53,12,5,2,1,4,6,12,3,0,17,0,0,0,1,0,0,0.226415094,5517
"Total","Avisail Garcia","MIA",13,32,31,8,6,1,0,1,3,1,1,0,8,0,0,0,2,0,0,0.258064516,5760
"Total","Wilmer Flores","SFG",44,105,94,20,11,7,0,2,6,16,8,1,12,0,3,0,0,0,0,0.212765957,5827
