Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Miguel Cabrera","DET",47,96,83,22,17,5,0,0,7,11,11,0,23,1,1,0,2,0,0,0.26506024,1744
"Total","David Peralta","2 Tms",36,44,41,13,11,2,0,0,5,4,1,0,11,2,0,0,1,0,0,0.31707317,2136
"Total","Adam Wainwright","STL",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2233
"Total","Carlos Santana","3 Tms",116,242,214,59,36,12,0,11,37,41,25,1,35,1,2,0,4,2,0,0.275700934,2396
"Total","Nelson Cruz","SDP",37,86,80,20,14,3,0,3,6,13,4,1,28,1,1,0,1,0,0,0.25,2434
"Total","Manny Pina","OAK",4,9,9,2,1,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0.222222222,2829
"Total","Roberto Perez","SFG",3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2900
"Total","Tommy Pham","3 Tms",103,230,198,49,29,9,0,11,30,26,28,1,48,1,3,0,6,11,2,0.247474747,2967
"Total","Anthony Rizzo","NYY",81,162,147,40,34,5,0,1,13,13,10,0,25,4,1,0,4,0,0,0.272108843,3473
"Total","Eric Hosmer","CHC",11,18,16,3,2,1,0,0,0,4,2,0,5,0,0,0,0,0,0,0.1875,3516
"Total","Michael Brantley","HOU",8,12,11,3,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.272727272,4106
"Total","Joey Votto","CIN",32,57,45,10,5,1,0,4,8,9,9,0,13,3,0,0,1,0,0,0.222222222,4314
"Total","Mike Moustakas","2 Tms",52,76,72,16,13,2,0,1,6,8,2,0,20,1,1,0,1,0,0,0.222222222,4892
"Total","Jason Heyward","LAD",34,36,34,7,2,2,0,3,10,3,2,0,11,0,0,0,0,0,0,0.205882352,4940
"Total","Giancarlo Stanton","NYY",69,146,137,34,18,6,0,10,20,18,9,1,34,0,0,0,3,0,0,0.248175182,4949
"Total","Josh Donaldson","2 Tms",25,52,47,10,1,3,0,6,8,14,5,0,13,0,0,0,3,0,0,0.212765957,5038
"Total","Justin Turner","2 Tms",116,229,202,59,32,18,0,9,29,35,24,0,42,2,1,0,5,1,1,0.292079207,5235
"Total","Robbie Grossman","2 Tms",91,212,171,51,31,13,0,7,30,33,36,0,45,0,5,0,6,2,0,0.298245614,5254
"Total","Sandy Leon","TEX",6,8,8,1,0,1,0,0,1,1,0,0,3,0,0,0,1,0,0,0.125,5273
"Total","Aaron Hicks","3 Tms",50,91,79,25,19,2,0,4,14,17,12,1,22,0,0,0,1,1,0,0.316455696,5297
"Total","Brandon Crawford","2 Tms",45,78,72,15,10,3,0,2,8,12,4,0,25,1,0,1,0,0,0,0.208333333,5343
"Total","Freddie Freeman","LAD",162,355,312,94,55,23,1,15,52,52,29,1,59,12,2,0,10,13,1,0.301282051,5361
"Total","Jose Altuve","HOU",89,214,192,59,39,13,1,6,39,13,18,1,35,4,0,0,3,8,3,0.307291666,5417
"Total","Ji Man Choi","2 Tms",15,22,19,2,1,0,0,1,2,4,2,0,12,0,1,0,1,0,0,0.105263157,5452
"Total","Abraham Almonte","NYM",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5486
"Total","Kyle Higashioka","2 Tms",66,119,113,27,11,7,1,8,13,22,5,0,37,0,1,0,1,0,0,0.238938053,5517
"Total","Avisail Garcia","MIA",35,76,73,17,11,3,1,2,6,5,3,0,26,0,0,0,4,0,0,0.232876712,5760
"Total","Wilmer Flores","SFG",130,282,255,69,40,19,0,10,28,39,22,2,40,1,3,1,6,0,0,0.270588235,5827
"Total","Jean Segura","MIA",34,68,64,15,12,2,1,0,9,5,3,1,6,0,0,1,2,1,0,0.234375,5933
"Total","Eduardo Escobar","2 Tms",54,113,106,30,22,2,2,4,11,16,6,0,26,0,1,0,4,0,0,0.283018867,6153
"Total","J.D. Martinez","2 Tms",99,211,178,51,26,12,0,13,24,44,25,1,58,3,3,0,6,1,0,0.286516853,6184
"Total","Martin Maldonado","2 Tms",75,144,129,23,11,5,0,7,13,16,12,0,52,0,0,3,4,0,0,0.178294573,6887
"Total","Salvador Perez","KCR",110,229,208,52,38,7,0,7,22,27,14,8,50,6,1,0,4,0,0,0.25,7304
"Total","Travis d'Arnaud","ATL",67,111,98,25,14,5,0,6,14,17,11,0,27,1,1,0,3,0,0,0.25510204,7739
"Total","Miguel Rojas","LAD",111,217,199,56,39,11,1,5,27,21,14,0,16,2,2,0,8,6,0,0.281407035,7802
"Total","Charlie Blackmon","COL",87,159,136,39,25,11,2,1,16,12,18,0,10,4,1,0,4,3,2,0.286764705,7859
"Total","Matt Carpenter","2 Tms",30,34,28,9,7,1,0,1,4,7,4,0,7,1,1,0,0,0,0,0.321428571,8090
"Total","Josh Harrison","PHI",30,60,55,10,9,1,0,0,3,3,0,0,15,4,1,0,1,0,0,0.181818181,8202
"Total","Ehire Adrianza","2 Tms",5,11,11,2,1,1,0,0,0,1,0,0,4,0,0,0,1,0,0,0.181818181,8418
"Total","Donovan Solano","2 Tms",108,223,202,58,41,13,0,4,13,20,19,0,44,2,0,0,1,0,0,0.287128712,8623
"Total","Elvis Andrus","CHW",58,105,91,23,18,4,0,1,10,12,12,1,20,0,1,1,0,3,1,0.252747252,8709
"Total","Paul Goldschmidt","STL",128,270,236,67,49,12,0,6,35,25,30,5,62,1,1,0,3,5,0,0.283898305,9218
"Total","Starling Marte","NYM",78,169,154,45,33,8,1,3,19,16,11,1,35,2,0,2,1,6,0,0.292207792,9241
"Total","AJ Pollock","2 Tms",43,80,74,10,9,0,0,1,7,4,5,0,16,0,1,0,0,0,1,0.135135135,9256
"Total","Evan Longoria","ARI",49,113,101,23,13,5,0,5,11,16,11,0,33,0,1,0,4,0,0,0.227722772,9368
"Total","Yan Gomes","CHC",75,156,144,37,21,9,1,6,19,29,8,1,30,1,3,0,2,0,0,0.256944444,9627
"Total","Christian Vazquez","MIN",72,127,121,29,18,5,0,6,15,16,4,0,32,0,2,0,2,3,0,0.239669421,9774
"Total","Nolan Arenado","STL",112,230,213,50,33,9,1,7,26,27,11,2,26,2,4,0,7,1,1,0.234741784,9777
"Total","Andrew McCutchen","PIT",112,260,217,50,33,10,0,7,33,20,38,0,55,4,1,0,3,4,1,0.230414746,9847
"Total","DJ LeMahieu","NYY",71,149,125,28,22,2,0,4,16,13,20,0,29,1,3,0,4,0,0,0.224,9874
"Total","Darin Ruf","2 Tms",18,40,33,8,6,2,0,0,2,3,7,0,10,0,0,0,0,0,0,0.242424242,9929
"Total","Trayce Thompson","2 Tms",47,81,68,8,6,0,0,2,8,6,12,0,40,1,0,0,0,0,0,0.117647058,9952
"Total","Christian Bethancourt","2 Tms",55,101,96,18,8,5,0,5,17,11,4,0,29,0,1,0,2,0,0,0.1875,10028
"Total","Chris Owings","PIT",6,17,17,4,4,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0.235294117,10030
"Total","Wil Myers","CIN",18,36,35,6,4,1,0,1,3,4,0,0,15,0,1,0,1,0,0,0.171428571,10047
