Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","David Peralta","SDP",42,99,91,21,16,3,0,2,10,9,8,0,18,0,0,0,3,0,0,0.23076923,2136
"Total","Carlos Santana","MIN",86,264,230,51,30,13,0,8,24,29,32,1,41,2,0,0,4,3,0,0.22173913,2396
"Total","Tommy Pham","CHW",65,223,207,54,42,9,0,3,24,14,16,0,47,0,0,0,2,4,3,0.260869565,2967
"Total","Anthony Rizzo","NYY",63,204,184,42,29,5,0,8,27,25,16,0,31,3,1,0,5,0,0,0.228260869,3473
"Total","Jason Heyward","LAD",41,127,107,22,9,7,2,4,14,19,15,0,18,4,1,0,3,3,0,0.205607476,4940
"Total","Giancarlo Stanton","NYY",62,200,182,46,26,6,0,14,25,37,17,0,66,1,0,0,8,0,0,0.252747252,4949
"Total","Justin Turner","TOR",78,253,215,48,36,7,0,5,27,19,31,0,48,5,2,0,13,0,1,0.223255813,5235
"Total","Robbie Grossman","2 Tms",37,90,77,14,11,3,0,0,7,3,12,0,21,0,1,0,4,1,0,0.181818181,5254
"Total","Aaron Hicks","LAA",14,40,36,5,5,0,0,0,4,3,4,0,13,0,0,0,0,0,0,0.138888888,5297
"Total","Brandon Crawford","STL",22,57,49,8,4,3,0,1,4,2,8,0,17,0,0,0,0,0,0,0.163265306,5343
"Total","Freddie Freeman","LAD",88,284,236,73,42,20,1,10,46,44,41,6,43,4,3,0,4,2,2,0.309322033,5361
"Total","Jose Altuve","HOU",91,311,291,85,64,11,0,10,39,35,18,0,62,2,0,0,5,10,3,0.292096219,5417
"Total","Kyle Higashioka","SDP",35,85,80,19,8,3,0,8,11,20,5,0,23,0,0,0,1,0,0,0.2375,5517
"Total","Avisail Garcia","MIA",6,7,7,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.285714285,5760
"Total","Wilmer Flores","SFG",56,126,111,22,15,5,0,2,10,8,11,0,20,2,2,0,5,0,0,0.198198198,5827
"Total","J.D. Martinez","NYM",67,217,194,48,29,12,1,6,17,22,17,0,63,2,1,0,8,0,0,0.24742268,6184
"Total","Martin Maldonado","CHW",43,99,92,14,8,3,0,3,7,8,5,0,33,1,0,1,3,0,0,0.152173913,6887
"Total","Salvador Perez","KCR",95,305,275,77,50,13,0,14,31,52,21,4,58,6,3,0,11,0,0,0.28,7304
"Total","Travis d'Arnaud","ATL",61,167,149,38,22,11,0,5,18,22,13,0,36,3,2,0,3,1,0,0.255033557,7739
"Total","Miguel Rojas","LAD",49,128,119,32,21,11,0,0,15,10,6,0,15,1,1,1,2,1,1,0.268907563,7802
"Total","Charlie Blackmon","COL",73,233,210,53,31,14,2,6,35,27,20,2,45,3,0,0,2,3,0,0.252380952,7859
"Total","Matt Carpenter","STL",34,92,82,19,13,4,0,2,9,5,8,0,29,1,1,0,0,0,1,0.231707317,8090
"Total","Ehire Adrianza","LAA",7,19,17,3,2,0,0,1,4,1,2,0,8,0,0,0,0,0,0,0.176470588,8418
"Total","Donovan Solano","SDP",49,113,105,31,24,6,0,1,14,13,4,0,23,3,1,0,3,1,1,0.295238095,8623
"Total","Paul Goldschmidt","STL",92,306,286,59,38,10,0,11,30,26,19,0,98,1,0,0,10,3,0,0.206293706,9218
"Total","Starling Marte","NYM",58,182,168,43,34,4,1,4,23,20,11,0,38,1,1,1,6,10,0,0.25595238,9241
"Total","Yan Gomes","CHC",26,75,71,13,9,2,0,2,6,6,1,0,27,1,1,1,2,0,0,0.183098591,9627
"Total","Christian Vazquez","MIN",50,138,126,25,18,4,0,3,7,11,5,0,31,1,2,4,6,0,1,0.198412698,9774
"Total","Nolan Arenado","STL",90,291,260,73,56,10,0,7,28,29,26,0,51,2,2,0,5,1,1,0.28076923,9777
"Total","Andrew McCutchen","PIT",82,261,229,56,37,9,1,9,37,18,30,1,64,2,0,0,6,2,1,0.244541484,9847
"Total","DJ LeMahieu","NYY",37,107,94,19,15,3,0,1,9,10,11,0,20,1,0,1,7,0,1,0.202127659,9874
"Total","Christian Bethancourt","MIA",22,55,50,8,5,2,0,1,6,5,2,0,13,1,0,2,0,0,0,0.16,10028
"Total","Mike Trout","LAA",26,99,86,21,9,1,2,9,15,13,12,1,20,1,0,0,0,6,1,0.244186046,10155
"Total","Tucker Barnhart","ARI",25,60,49,10,8,2,0,0,7,5,10,0,18,0,0,1,0,0,0,0.204081632,10200
"Total","Jose Iglesias","NYM",24,62,57,19,12,3,1,3,9,13,4,0,6,1,0,0,1,0,1,0.333333333,10231
