Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Miguel Cabrera","DET",93,270,247,63,45,14,0,4,14,23,20,0,51,1,2,0,8,0,0,0.255060728,1744
"Total","David Peralta","2 Tms",160,451,419,103,68,26,1,8,50,57,24,1,77,2,6,0,10,4,0,0.245823389,2136
"Total","Adam Wainwright","STL",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2233
"Total","Carlos Santana","3 Tms",216,697,623,145,83,37,1,24,75,85,69,1,120,3,2,0,14,6,0,0.232744783,2396
"Total","Nelson Cruz","SDP",33,62,59,15,10,2,1,2,3,10,2,0,17,1,0,0,1,1,0,0.254237288,2434
"Total","Manny Pina","OAK",3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.333333333,2829
"Total","Roberto Perez","SFG",4,12,12,1,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0.083333333,2900
"Total","Tommy Pham","3 Tms",161,483,437,117,78,27,3,9,52,58,41,0,107,2,3,0,6,16,3,0.267734553,2967
"Total","Charlie Culberson","ATL",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3298
"Total","Anthony Rizzo","NYY",163,546,486,109,74,16,0,19,64,56,44,1,119,14,2,0,12,0,3,0.224279835,3473
"Total","Eric Hosmer","CHC",27,78,74,19,15,2,0,2,7,10,4,0,20,0,0,0,5,0,0,0.256756756,3516
"Total","Michael Brantley","HOU",15,45,43,12,8,2,0,2,5,7,1,0,2,0,1,0,2,0,0,0.279069767,4106
"Total","Joey Votto","CIN",63,185,163,32,17,5,0,10,18,29,18,0,49,4,0,0,1,0,0,0.196319018,4314
"Total","Mike Moustakas","2 Tms",109,310,280,71,47,13,0,11,37,40,21,1,75,2,7,0,6,0,0,0.253571428,4892
"Total","Jason Heyward","LAD",163,478,418,107,61,28,2,16,62,57,45,1,74,7,5,0,9,5,2,0.255980861,4940
"Total","Giancarlo Stanton","NYY",162,546,490,100,51,17,0,32,57,87,52,2,179,3,1,0,17,0,0,0.204081632,4949
"Total","Josh Donaldson","2 Tms",44,133,114,14,5,2,0,7,9,12,17,0,35,0,2,0,3,0,0,0.122807017,5038
"Total","Justin Turner","2 Tms",209,682,598,153,106,28,0,19,86,87,63,0,116,14,7,0,18,3,2,0.255852842,5235
"Total","Robbie Grossman","2 Tms",131,364,313,61,40,16,1,4,41,26,44,0,85,2,5,0,8,2,0,0.194888178,5254
"Total","Sandy Leon","TEX",15,36,33,5,4,1,0,0,3,3,1,0,17,1,0,1,1,0,0,0.151515151,5273
"Total","Aaron Hicks","3 Tms",102,284,247,51,38,7,1,5,36,24,36,0,70,0,1,0,3,5,0,0.206477732,5297
"Total","Brandon Crawford","2 Tms",108,303,264,50,31,12,1,6,28,29,31,1,74,4,4,0,5,3,0,0.189393939,5343
"Total","Freddie Freeman","LAD",230,764,648,215,124,61,3,27,133,108,96,18,121,12,8,0,13,14,2,0.331790123,5361
"Total","Jose Altuve","HOU",170,586,530,165,115,25,1,24,90,79,50,0,112,5,1,0,12,19,2,0.311320754,5417
"Total","Ji Man Choi","2 Tms",36,95,85,15,5,5,0,5,10,9,8,0,23,1,1,0,1,0,0,0.176470588,5452
"Total","Abraham Almonte","NYM",6,14,13,1,0,1,0,0,1,0,1,0,7,0,0,0,0,0,0,0.076923076,5486
"Total","Kyle Higashioka","2 Tms",99,260,243,55,34,9,0,12,26,37,14,0,74,0,2,1,5,0,0,0.226337448,5517
"Total","Avisail Garcia","MIA",37,86,79,15,11,1,0,3,6,9,3,1,25,2,0,0,1,2,0,0.189873417,5760
"Total","Wilmer Flores","SFG",167,395,346,87,57,13,0,17,42,46,38,0,52,7,4,0,11,0,0,0.251445086,5827
"Total","Jean Segura","MIA",79,250,230,51,44,3,1,3,16,16,18,0,38,2,0,0,8,5,2,0.22173913,5933
"Total","Eduardo Escobar","2 Tms",80,189,175,34,25,4,3,2,20,15,12,0,49,0,1,1,3,2,1,0.194285714,6153
"Total","J.D. Martinez","2 Tms",158,516,470,124,62,29,3,30,61,95,35,0,155,2,6,0,14,0,0,0.263829787,6184
"Total","Martin Maldonado","2 Tms",150,395,356,58,38,10,0,10,26,31,24,0,135,3,0,12,10,0,0,0.162921348,6887
"Total","Salvador Perez","KCR",218,706,652,174,114,30,0,30,71,108,31,4,152,14,7,0,16,0,0,0.266871165,7304
"Total","Travis d'Arnaud","ATL",123,370,339,72,40,20,0,12,36,45,22,0,83,6,3,0,7,0,0,0.21238938,7739
"Total","Miguel Rojas","LAD",142,377,343,81,58,20,0,3,43,29,23,0,45,4,4,3,8,6,3,0.236151603,7802
"Total","Charlie Blackmon","COL",159,520,464,120,73,31,6,10,74,55,42,2,84,11,3,0,4,6,0,0.258620689,7859
"Total","Matt Carpenter","2 Tms",104,305,250,47,27,14,0,6,24,31,46,0,90,3,5,0,2,1,1,0.188,8090
"Total","Josh Harrison","PHI",28,54,48,11,7,2,0,2,5,7,3,0,5,2,1,0,1,0,0,0.229166666,8202
"Total","Ehire Adrianza","2 Tms",12,28,25,3,2,0,0,1,4,1,3,0,11,0,0,0,0,0,0,0.12,8418
"Total","Donovan Solano","2 Tms",146,395,344,96,69,22,1,4,47,36,33,1,89,16,2,0,10,0,1,0.279069767,8623
"Total","Elvis Andrus","CHW",100,293,275,69,47,16,1,5,29,32,13,0,51,4,1,0,11,8,3,0.25090909,8709
