Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Adam Ottavino","NYM",35,63,6.75,14,4,1,11,10,3,6,0,3,19,0.264150943,0.365079365,0.547169811,0.38738796824500676,1247
"Total","Matt Moore","LAA",35,63,6.6,12,1,0,12,11,5,7,0,0,12,0.214285714,0.301587301,0.5,0.34410217262449716,1890
"Total","Clayton Kershaw","LAD",1,2,0,1,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0.44174668192863464,2036
"Total","Lance Lynn","STL",19,233,5.90066225,55,11,1,41,33,9,27,0,2,43,0.27363184,0.360515021,0.472636815,0.36079565547566556,2520
"Total","Kenley Jansen","BOS",29,66,2.8125,15,2,0,5,5,1,6,2,0,19,0.254237288,0.318181818,0.33898305,0.2802473306655884,3096
"Total","Max Scherzer","TEX",7,63,3.6,14,4,0,6,6,2,6,0,1,10,0.25,0.333333333,0.428571428,0.3345555388738239,3137
"Total","T.J. McFarland","OAK",43,77,0.8852459,16,5,0,2,2,1,3,0,1,15,0.219178082,0.259740259,0.328767123,0.259404849696469,3237
"Total","Justin Wilson","CIN",33,57,5.68421052,15,2,0,8,8,3,3,0,1,16,0.288461538,0.333333333,0.5,0.35641915338081226,4301
"Total","Charlie Morton","ATL",18,247,3.45348837,45,12,0,25,22,5,27,1,12,61,0.219512195,0.341463414,0.351219512,0.31313299451555526,4676
"Total","Jake Diekman","NYM",35,64,2.57142857,8,1,0,6,4,1,11,0,3,14,0.166666666,0.349206349,0.25,0.2915911693421621,5003
"Total","Aaron Hicks","LAA",1,4,0,1,0,0,0,0,0,1,0,0,0,0.333333333,0.5,0.333333333,0.39336778223514557,5297
"Total","Jesse Chavez","ATL",27,71,0.5625,15,1,1,1,1,1,10,1,0,12,0.25,0.357142857,0.35,0.3148233285848645,5448
"Total","Ryan Brasier","LAD",10,18,4.9090909,6,0,0,2,2,1,1,0,0,3,0.352941176,0.388888888,0.529411764,0.39807572960853577,5615
"Total","Huascar Brazoban","MIA",15,54,2.07692308,9,1,0,3,3,0,8,0,0,12,0.195652173,0.314814814,0.217391304,0.2564038634300232,6107
"Total","Albert Suarez","BAL",18,128,3.06818182,27,8,1,11,10,2,15,1,0,24,0.241071428,0.330708661,0.383928571,0.3140545052195352,6175
"Total","Jose Cisnero","LAA",10,25,17.18181817,10,1,0,7,7,2,4,0,0,7,0.476190476,0.56,0.809523809,0.572729651927948,6399
"Total","Carlos Carrasco","CLE",17,184,4.81395349,44,11,2,25,23,5,17,0,0,37,0.263473053,0.331521739,0.443113772,0.3370583711758904,6632
"Total","Craig Kimbrel","BAL",39,79,4.26315789,11,1,0,11,9,3,10,0,2,30,0.166666666,0.29113924,0.318181818,0.27795451125012166,6655
"Total","Julio Teheran","NYM",1,7,13.50000003,2,1,0,2,2,0,1,0,0,2,0.333333333,0.428571428,0.5,0.40450153180531095,6797
"Total","Chase Anderson","BOS",23,104,5.625,20,1,0,15,15,4,11,1,1,17,0.219780219,0.310679611,0.362637362,0.2976772732594434,6895
"Total","Martin Perez","PIT",14,87,4.95,26,2,0,11,11,3,4,0,2,12,0.325,0.372093023,0.4625,0.3656451916971872,6902
"Total","Luis Garcia","LAA",39,81,5.21052632,16,2,0,11,11,2,9,1,2,21,0.231884057,0.333333333,0.347826086,0.30245048403739927,6984
"Total","Ryan Pressly","HOU",36,76,1.5,18,5,0,5,3,0,5,0,1,23,0.257142857,0.315789473,0.328571428,0.28877224341819163,7005
"Total","Fernando Cruz","CIN",39,83,6.15789474,17,6,0,13,13,4,12,1,0,26,0.239436619,0.34939759,0.492957746,0.36041610633454674,7048
"Total","Daniel Hudson","LAD",39,74,0.84375,10,3,0,3,2,2,3,1,0,21,0.14084507,0.175675675,0.267605633,0.18749833188644827,7146
"Total","Jay Jackson","MIN",16,49,7.83870968,15,0,1,11,9,5,4,0,0,12,0.333333333,0.387755102,0.711111111,0.46114439502054333,7432
"Total","Jordan Lyles","KCR",3,6,0,1,1,0,0,0,0,1,0,0,1,0.2,0.333333333,0.4,0.3246695597966512,7593
"Total","Hunter Strickland","LAA",36,60,2.45454545,10,3,0,4,4,1,7,0,1,8,0.192307692,0.3,0.307692307,0.27806719740231833,7836
"Total","Will Smith","KCR",29,53,1.28571429,10,1,0,3,2,1,2,0,0,11,0.196078431,0.226415094,0.274509803,0.22195963364727092,8048
"Total","Bryan Shaw","CHW",4,12,20.25000005,5,2,0,4,3,1,3,1,0,1,0.555555555,0.666666666,1.111111111,0.7019036358053033,8110
"Total","David Robertson","TEX",34,74,3.66101695,9,0,0,8,8,3,4,0,1,29,0.130434782,0.189189189,0.260869565,0.20210563331036954,8241
"Total","Paolo Espino","TOR",2,9,3.85714286,2,1,0,1,1,1,1,0,0,1,0.25,0.333333333,0.75,0.4451039897070991,8246
"Total","Justin Verlander","HOU",10,115,5.46428571,21,0,1,17,17,7,11,0,0,25,0.207920792,0.278260869,0.435643564,0.30500635012336397,8700
"Total","Wade Miley","MIL",2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8779
"Total","Kirby Yates","TEX",32,61,2.34782609,5,2,0,4,4,0,11,2,0,26,0.102040816,0.262295081,0.142857142,0.19281964685957312,9073
"Total","Nathan Eovaldi","TEX",17,182,4.23134328,42,9,0,21,21,6,10,0,0,45,0.245614035,0.285714285,0.403508771,0.2990327808228168,9132
"Total","Patrick Corbin","WSN",17,101,4.69565217,23,6,0,13,12,2,11,1,0,19,0.258426966,0.336633663,0.393258426,0.31816252768039704,9323
