Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Tommy Hunter","NYM",12,44,10.8,10,0,1,14,12,5,4,0,1,9,0.263157894,0.34090909,0.710526315,0.423388810320334,1157
"Total","Matt Bush","MIL",11,25,10.8,6,1,0,6,6,3,4,0,0,6,0.285714285,0.4,0.761904761,0.4721893835067749,1246
"Total","Adam Ottavino","NYM",95,166,5.30357143,33,8,1,23,22,8,21,3,4,45,0.237410071,0.351515151,0.482014388,0.3537292053670059,1247
"Total","Matt Moore","3 Tms",75,125,5.21590909,27,2,1,18,17,9,12,0,1,24,0.241071428,0.32,0.517857142,0.3572463617324829,1890
"Total","Zack Greinke","KCR",29,258,6.32571429,80,17,1,42,41,14,10,0,2,32,0.326530612,0.356589147,0.575510204,0.39357733125834504,1943
"Total","Clayton Kershaw","LAD",21,85,1.30645161,13,0,0,4,3,2,7,0,2,12,0.171052631,0.258823529,0.25,0.23576915965360754,2036
"Total","Adam Wainwright","STL",21,231,8.02173913,70,19,2,43,41,9,29,0,0,25,0.35,0.428571428,0.6,0.4341502868251883,2233
"Total","Corey Kluber","BOS",14,125,5.88461538,33,8,1,21,17,7,11,0,3,19,0.297297297,0.376,0.576576576,0.40306960582733153,2429
"Total","Lance Lynn","3 Tms",51,639,6.07990315,161,28,3,106,93,32,66,1,3,123,0.284955752,0.360501567,0.515044247,0.37376902943690493,2520
"Total","Zach McAllister","NYY",5,9,21.59999996,2,1,0,4,4,1,1,0,1,1,0.285714285,0.444444444,0.857142857,0.5188629229863485,2895
"Total","Kenley Jansen","BOS",77,156,3.25862069,31,5,0,17,14,4,14,3,0,45,0.219858156,0.288461538,0.340425531,0.27043194435780343,3096
"Total","Max Scherzer","2 Tms",33,379,3.51301115,76,14,0,35,35,15,40,0,2,93,0.226190476,0.311345646,0.401785714,0.312331107015031,3137
"Total","T.J. McFarland","2 Tms",48,86,0.81818182,19,5,0,3,2,1,4,0,1,16,0.234567901,0.279069767,0.333333333,0.27115813174913095,3237
"Total","Liam Hendriks","CHW",5,8,0,2,1,0,0,0,0,1,0,0,1,0.285714285,0.375,0.428571428,0.3527751937508583,3548
"Total","Justin Wilson","CIN",34,60,5.4,16,2,0,8,8,3,3,0,1,17,0.29090909,0.333333333,0.49090909,0.3533230851093928,4301
"Total","Charlie Morton","ATL",48,598,3.63080685,113,24,1,61,55,13,74,3,22,161,0.22782258,0.35067114,0.358870967,0.31922302167693034,4676
"Total","Rich Hill","2 Tms",30,128,4.10126582,28,5,2,13,12,1,19,0,2,23,0.266666666,0.3828125,0.38095238,0.34129320411011577,4806
"Total","Fernando Abad","COL",3,6,13.50000003,2,0,0,2,2,1,0,0,0,1,0.333333333,0.333333333,0.833333333,0.48110538721084595,4994
"Total","Jake Diekman","3 Tms",90,165,3.375,26,2,1,20,14,2,26,0,3,39,0.196969696,0.337423312,0.272727272,0.2875064754047277,5003
"Total","Josh Donaldson","NYY",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5038
"Total","Jeurys Familia","OAK",12,27,8.43750001,6,2,0,6,5,0,6,0,0,2,0.3,0.444444444,0.4,0.3775217488959984,5114
"Total","Aaron Hicks","LAA",1,4,0,1,0,0,0,0,0,1,0,0,0,0.333333333,0.5,0.333333333,0.39336778223514557,5297
"Total","Brandon Crawford","SFG",1,2,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.3479514420032501,5343
"Total","Jesse Chavez","ATL",59,137,0.55102041,24,2,1,6,2,1,15,1,2,27,0.20338983,0.301470588,0.262711864,0.2589581030386466,5448
"Total","Madison Bumgarner","ARI",2,14,4.5,3,0,0,1,1,1,4,0,1,1,0.333333333,0.571428571,0.666666666,0.5199132263660431,5524
"Total","Ryan Brasier","2 Tms",62,118,4.03448276,27,8,0,14,13,3,7,1,0,25,0.243243243,0.288135593,0.396396396,0.29337901743049294,5615
"Total","Huascar Brazoban","MIA",59,145,4.73195876,32,4,0,17,17,3,19,2,0,30,0.256,0.351724137,0.36,0.3136757116217713,6107
"Total","Eduardo Escobar","LAA",3,7,0,1,1,0,1,0,0,0,0,1,0,0.166666666,0.285714285,0.333333333,0.28139534166881014,6153
"Total","Albert Suarez","BAL",18,128,3.06818182,27,8,1,11,10,2,15,1,0,24,0.241071428,0.330708661,0.383928571,0.3140545052195352,6175
"Total","Trevor May","OAK",44,83,3.31578947,14,4,1,9,7,1,12,4,0,12,0.20289855,0.313253012,0.333333333,0.2680446166026441,6398
"Total","Jose Cisnero","2 Tms",62,129,6.18072289,31,7,0,21,19,5,17,2,0,43,0.279279279,0.375,0.477477477,0.3658781387503185,6399
"Total","Alex Cobb","SFG",28,336,3.21145374,85,18,2,30,27,7,29,0,1,47,0.278688524,0.342261904,0.419672131,0.33228696456977297,6562
