Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Adam Ottavino","NYM",37,91,3.62686567,15,2,0,10,9,1,7,0,3,27,0.1875,0.277777777,0.25,0.24632591538959078,1247
"Total","Matt Moore","LAA",41,107,5.4,24,4,0,16,14,5,11,0,2,22,0.258064516,0.349056603,0.462365591,0.35477629191470594,1890
"Total","Clayton Kershaw","LAD",1,18,4.9090909,5,1,1,2,2,0,2,0,0,5,0.3125,0.388888888,0.5,0.3824225829707252,2036
"Total","Lance Lynn","STL",19,198,2.68085106,42,8,0,20,14,5,12,0,2,46,0.23076923,0.284263959,0.357142857,0.28272756434939234,2520
"Total","Kenley Jansen","BOS",32,75,3.43636364,13,4,0,7,7,1,7,0,1,19,0.2,0.28,0.307692307,0.2627874422073364,3096
"Total","Max Scherzer","TEX",7,78,3.54098361,17,4,0,9,8,3,1,0,0,23,0.22077922,0.23076923,0.389610389,0.2657798131306966,3137
"Total","T.J. McFarland","OAK",37,79,7.94117647,21,3,0,16,15,3,8,4,1,10,0.3,0.379746835,0.471428571,0.355751678943634,3237
"Total","Justin Wilson","CIN",28,58,4.05,15,3,0,6,6,1,3,0,1,14,0.277777777,0.327586206,0.388888888,0.31623426901883095,4301
"Total","Charlie Morton","ATL",18,180,4.5,42,13,1,24,23,6,12,0,0,40,0.25,0.3,0.446428571,0.32229858040809634,4676
"Total","Jake Diekman","NYM",36,68,7.8,11,4,1,15,13,4,13,0,1,20,0.207547169,0.367647058,0.547169811,0.3870125220102422,5003
"Total","Aaron Hicks","LAA",1,2,54.00000054,1,0,0,2,2,1,0,0,0,0,0.5,0.5,2,1.0289592742919922,5297
"Total","Jesse Chavez","ATL",30,97,2.48684211,20,3,0,11,7,5,3,0,1,25,0.219780219,0.24742268,0.417582417,0.2830593315596433,5448
"Total","Ryan Brasier","LAD",10,22,6,3,0,0,4,4,2,2,0,0,7,0.15,0.227272727,0.45,0.28996754505417566,5615
"Total","Huascar Brazoban","MIA",18,65,4.02127659,11,1,2,11,7,1,3,0,2,19,0.183333333,0.246153846,0.316666666,0.2492767306474539,6107
"Total","Albert Suarez","BAL",20,184,3.76744186,43,12,0,18,18,3,11,0,3,34,0.26380368,0.314917127,0.392638036,0.308073869067661,6175
"Total","Jose Cisnero","LAA",12,32,1.03846154,5,0,0,3,1,1,1,0,1,6,0.172413793,0.225806451,0.275862068,0.22590515305919032,6399
"Total","Carlos Carrasco","CLE",17,186,5.81538462,50,13,1,29,28,10,8,0,4,34,0.29239766,0.335135135,0.555555555,0.3778607619775308,6632
"Total","Craig Kimbrel","BAL",38,74,1.5,10,2,0,5,3,0,9,0,2,25,0.161290322,0.283783783,0.193548387,0.23292170183078661,6655
"Total","Julio Teheran","NYM",1,9,13.50000003,4,0,0,2,2,1,1,0,0,1,0.5,0.555555555,0.875,0.5998196005821228,6797
"Total","Chase Anderson","BOS",26,114,3.66666667,24,5,0,16,11,6,7,0,2,18,0.23076923,0.289473684,0.451923076,0.31925743243150545,6895
"Total","Martin Perez","PIT",15,265,5.52272727,73,21,0,39,36,10,25,0,1,49,0.30543933,0.373584905,0.518828451,0.38519008429545276,6902
"Total","Luis Garcia","LAA",41,94,1.52112676,18,2,0,6,4,2,5,0,1,19,0.204545454,0.255319148,0.295454545,0.24650959765657465,6984
"Total","Ryan Pressly","HOU",37,77,4.82142857,16,6,0,11,10,1,5,0,0,17,0.231884057,0.28,0.36231884,0.2800998028119405,7005
"Total","Fernando Cruz","CIN",45,86,3.0483871,13,5,0,7,7,0,9,0,1,35,0.173333333,0.270588235,0.24,0.23869570283328786,7048
"Total","Daniel Hudson","LAD",37,76,2.5,14,1,0,8,5,3,6,0,0,22,0.20289855,0.263157894,0.347826086,0.26850783511211995,7146
