Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Tommy Hunter","NYM",12,55,4.62857143,17,5,0,6,6,1,1,0,1,11,0.320754716,0.345454545,0.471698113,0.3518675457347523,1157
"Total","Matt Bush","MIL",11,23,8.43750001,5,2,0,5,5,2,2,0,0,4,0.238095238,0.304347826,0.619047619,0.381306907405024,1246
"Total","Adam Ottavino","NYM",103,255,2.95081967,45,6,0,23,20,3,21,0,10,65,0.203619909,0.300395256,0.271493212,0.2654546822012649,1247
"Total","Matt Moore","3 Tms",91,263,3.35675676,55,13,0,26,23,8,21,3,4,70,0.234042553,0.306513409,0.391489361,0.30195331850717233,1890
"Total","Zack Greinke","KCR",29,312,4.23305085,71,8,0,38,37,11,12,0,2,61,0.241496598,0.272435897,0.38095238,0.28105733066033095,1943
"Total","Clayton Kershaw","LAD",25,458,2.73913043,93,20,1,37,35,17,35,0,1,131,0.220902612,0.281659388,0.394299287,0.2929419465200349,2036
"Total","Adam Wainwright","STL",21,253,6.87272727,81,17,0,46,42,11,12,0,1,30,0.340336134,0.374501992,0.550420168,0.39458278807035957,2233
"Total","Corey Kluber","BOS",14,113,7.36363636,30,6,1,21,21,8,6,0,1,19,0.283018867,0.327433628,0.58490566,0.3823334068323659,2429
"Total","Lance Lynn","3 Tms",51,594,4.38352941,126,17,1,80,69,25,37,0,9,156,0.23119266,0.29005059,0.403669724,0.3013145059196382,2520
"Total","Zach McAllister","NYY",6,20,4.9090909,7,2,0,3,2,1,1,0,0,4,0.368421052,0.4,0.631578947,0.435883441567421,2895
"Total","Kenley Jansen","BOS",78,177,3.48387097,37,10,0,16,16,3,17,0,3,47,0.238709677,0.322033898,0.361290322,0.3034210107420797,3096
"Total","Max Scherzer","2 Tms",33,361,3.89891697,77,14,0,42,40,17,10,0,3,108,0.221902017,0.249307479,0.409221902,0.2809923576846347,3137
"Total","T.J. McFarland","2 Tms",42,91,8.52631579,26,4,0,19,18,3,8,4,2,13,0.325,0.395604395,0.4875,0.36992186924506876,3237
"Total","Liam Hendriks","CHW",5,12,8.10000001,2,0,0,3,3,1,0,0,0,2,0.181818181,0.166666666,0.454545454,0.24055269360542297,3548
"Total","Justin Wilson","CIN",29,59,3.95121951,15,3,0,6,6,1,3,0,1,14,0.272727272,0.322033898,0.381818181,0.31087436615410496,4301
"Total","Charlie Morton","ATL",48,545,3.86700767,124,31,3,58,56,12,48,0,2,123,0.25203252,0.320441988,0.400406504,0.315820112632344,4676
"Total","Rich Hill","2 Tms",32,532,5.7,137,39,2,85,76,22,39,0,5,106,0.284232365,0.34280303,0.510373443,0.36328125,4806
"Total","Fernando Abad","COL",6,26,1.8,9,2,0,1,1,1,3,0,0,1,0.391304347,0.461538461,0.608695652,0.45671335321206313,4994
"Total","Jake Diekman","3 Tms",94,210,4.2244898,29,8,1,29,23,6,35,1,2,60,0.168604651,0.314285714,0.331395348,0.2929688714908071,5003
"Total","Josh Donaldson","NYY",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5038
"Total","Jeurys Familia","OAK",13,37,4.90909091,7,1,0,6,4,2,7,0,1,7,0.25,0.416666666,0.5,0.39942846695582074,5114
"Total","Sandy Leon","TEX",1,5,18,1,0,0,2,2,1,0,0,1,0,0.25,0.4,1,0.5460202097892761,5273
"Total","Aaron Hicks","LAA",1,2,54.00000054,1,0,0,2,2,1,0,0,0,0,0.5,0.5,2,1.0289592742919922,5297
"Total","Brandon Crawford","SFG",1,3,0,1,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0.2941787640253703,5343
"Total","Jesse Chavez","ATL",64,180,2.6,37,6,1,17,13,8,10,0,2,49,0.222891566,0.272222222,0.41566265,0.29580948220358955,5448
"Total","Madison Bumgarner","ARI",4,76,11.04545454,22,8,0,19,18,3,11,0,0,9,0.349206349,0.434210526,0.619047619,0.43848971081407445,5524
"Total","Ryan Brasier","2 Tms",68,160,2.17741936,23,2,0,13,10,3,13,0,2,43,0.163120567,0.2375,0.241134751,0.21863103434443473,5615
"Total","Huascar Brazoban","MIA",65,221,3.39622642,38,6,2,25,20,3,23,0,5,63,0.2,0.3,0.3,0.27353086363185536,6107
"Total","Eduardo Escobar","LAA",3,9,3.85714286,1,0,0,1,1,0,1,0,0,0,0.142857142,0.222222222,0.142857142,0.17538213067584568,6153
"Total","Albert Suarez","BAL",20,184,3.76744186,43,12,0,18,18,3,11,0,3,34,0.26380368,0.314917127,0.392638036,0.308073869067661,6175
"Total","Trevor May","OAK",45,117,3.375,20,2,0,12,10,3,16,0,3,27,0.210526315,0.342105263,0.326315789,0.307458933508187,6398
"Total","Jose Cisnero","2 Tms",77,204,5.32116788,49,4,1,31,27,9,15,0,6,43,0.275280898,0.346534653,0.460674157,0.34804509240801973,6399
"Total","Alex Cobb","SFG",28,310,4.51982379,78,15,2,39,38,12,8,0,5,84,0.264406779,0.294498381,0.450847457,0.3180739353004011,6562
"Total","Carlos Carrasco","2 Tms",38,428,6.72696246,122,29,3,76,73,21,20,0,10,77,0.310432569,0.355971896,0.559796437,0.38797779091627316,6632
"Total","Craig Kimbrel","2 Tms",108,236,2.55,36,4,0,21,17,8,23,0,3,81,0.173913043,0.262711864,0.309178743,0.2557022245758671,6655
"Total","Alex Colome","CHW",4,11,3.85714286,1,1,0,2,1,0,2,0,0,1,0.111111111,0.272727272,0.222222222,0.2395971038124778,6661
"Total","Julio Teheran","2 Tms",15,158,4.18965517,43,9,1,18,18,7,5,0,2,25,0.286666666,0.316455696,0.5,0.3463268102724341,6797
"Total","Martin Maldonado","HOU",1,5,27,1,0,0,3,3,1,1,0,0,0,0.333333333,0.4,1.333333333,0.539999783039093,6887
"Total","Johnny Cueto","MIA",13,102,5.25974026,22,5,0,15,15,6,7,0,3,18,0.241758241,0.31372549,0.494505494,0.34314335795009837,6893
"Total","Chase Anderson","3 Tms",45,330,4.51931331,79,11,1,44,39,16,21,0,6,50,0.264214046,0.322188449,0.468227424,0.3393640947559322,6895
"Total","Martin Perez","2 Tms",51,754,4.88015717,198,42,2,99,92,27,71,1,2,122,0.293768545,0.36037234,0.482195845,0.3627966086810502,6902
