Name,Team,MLBAMID
Andrew Abbott,Cincinnati Reds,671096
Keegan Akin,Baltimore Orioles,669211
Sam Aldegheri,Los Angeles Angels,691951
Scott Alexander,Oakland Athletics,518397
Tyler Alexander,Tampa Bay Rays,641302
Kolby Allard,Philadelphia Phillies,663465
Logan Allen,Arizona Diamondbacks,663531
Logan Allen,Cleveland Guardians,671106
José Alvarado,Philadelphia Phillies,621237
Tyler Anderson,Los Angeles Angels,542881
Clayton Andrews,New York Yankees,677076
Aaron Ashby,Milwaukee Brewers,676879
Anthony Banda,Los Angeles Dodgers,607455
Tanner Banks,Philadelphia Phillies,621383
Brady Basso,Oakland Athletics,669620
Jalen Beeks,Pittsburgh Pirates,656222
Jonathan Bermúdez,Miami Marlins,642834
Brennan Bernardino,Boston Red Sox,657514
Ty Blach,Colorado Rockies,621389
Cam Booser,Boston Red Sox,592155
Ryan Borucki,Pittsburgh Pirates,621366
Matthew Boyd,Cleveland Guardians,571510
Cody Bradford,Texas Rangers,674003
Justin Bruihl,Pittsburgh Pirates,677865
Kris Bubic,Kansas City Royals,663460
Aaron Bummer,Atlanta Braves,607481
Raymond Burgos,San Francisco Giants,670103
Brock Burke,Los Angeles Angels,656271
Ky Bush,Chicago White Sox,681066
Génesis Cabrera,Toronto Blue Jays,650893
Joey Cantillo,Cleveland Guardians,676282
Andrew Chafin,Texas Rangers,605177
Aroldis Chapman,Pittsburgh Pirates,547973
Garrett Cleavinger,Tampa Bay Rays,664076
Patrick Corbin,Washington Nationals,571578
Nestor Cortes,New York Yankees,641482
Tom Cosgrove,San Diego Padres,676680
Danny Coulombe,Baltimore Orioles,543056
Garrett Crochet,Chicago White Sox,676979
Tucker Davidson,Baltimore Orioles,656353
Austin Davis,San Diego Padres,656354
Reid Detmers,Los Angeles Angels,672282
Jhonathan Díaz,Seattle Mariners,646242
Jake Diekman,New York Mets,518617
Dylan Dodd,Atlanta Braves,689266
Jake Eder,Chicago White Sox,671109
Brandon Eisert,Toronto Blue Jays,685126
Fraser Ellard,Chicago White Sox,686642
Kent Emanuel,Miami Marlins,592288
Bailey Falter,Pittsburgh Pirates,663559
Brady Feigl,Pittsburgh Pirates,621399
Caleb Ferguson,Houston Astros,657571
Jose A. Ferrer,Washington Nationals,678606
Josh Fleming,Pittsburgh Pirates,676596
Kyle Freeland,Colorado Rockies,607536
Max Fried,Atlanta Braves,608331
Kody Funderburk,Minnesota Twins,681892
Robert Garcia,Washington Nationals,676395
Amir Garrett,Los Angeles Angels,607237
Braxton Garrett,Miami Marlins,666129
Robert Gasser,Milwaukee Brewers,688107
Tyler Gilbert,Philadelphia Phillies,656457
Lucas Gilbreath,Colorado Rockies,656458
Austin Gomber,Colorado Rockies,596295
Marco Gonzales,Pittsburgh Pirates,594835
Victor González,New York Yankees,624647
MacKenzie Gore,Washington Nationals,669022
Anthony Gose,Cleveland Guardians,543238
Sean Guenther,Detroit Tigers,674944
Josh Hader,Houston Astros,623352
DL Hall,Milwaukee Brewers,669084
Hogan Harris,Oakland Athletics,663687
Kyle Harrison,San Francisco Giants,690986
Brent Headrick,Minnesota Twins,687396
Andrew Heaney,Texas Rangers,571760
Tommy Henry,Arizona Diamondbacks,674072
Sam Hentges,Cleveland Guardians,656529
Jose E. Hernandez,Pittsburgh Pirates,669796
Tim Herrin,Cleveland Guardians,682120
DJ Herz,Washington Nationals,687792
Rich Hill,Boston Red Sox,448179
Tim Hill,New York Yankees,657612
Tyler Holton,Detroit Tigers,663947
Bailey Horn,Boston Red Sox,690544
Bryan Hudson,Milwaukee Brewers,663542
Brandon Hughes,Arizona Diamondbacks,676714
Brant Hurter,Detroit Tigers,676428
Shota Imanaga,Chicago Cubs,684007
Cole Irvin,Minnesota Twins,608344
Joe Jacques,Arizona Diamondbacks,682175
Tyler Jay,Milwaukee Brewers,664079
Evan Justice,Colorado Rockies,687145
Ray Kerr,Atlanta Braves,678061
Clayton Kershaw,Los Angeles Dodgers,477132
Dallas Keuchel,Milwaukee Brewers,572971
Yusei Kikuchi,Houston Astros,579328
Bryan King,Houston Astros,687911
John King,St. Louis Cardinals,667463
Austin Kitchen,Miami Marlins,685116
Jared Koenig,Milwaukee Brewers,657649
Evan Kravetz,Cincinnati Reds,667478
Matt Krook,Baltimore Orioles,640454
Joe La Sorsa,Washington Nationals,686747
Jacob Latz,Texas Rangers,656641
Dylan Lee,Atlanta Braves,669276
Brandon Leibrandt,Cincinnati Reds,605335
Matthew Liberatore,St. Louis Cardinals,669461
Brendon Little,Toronto Blue Jays,663893
Luke Little,Chicago Cubs,681432
Nick Lodolo,Cincinnati Reds,666157
Zach Logue,Los Angeles Dodgers,656657
Sam Long,Kansas City Royals,669674
Jacob Lopez,Tampa Bay Rays,682052
Richard Lovelady,Tampa Bay Rays,663992
Easton Lucas,Toronto Blue Jays,687922
Joey Lucchesi,New York Mets,664192
Jesús Luzardo,Miami Marlins,666200
Daniel Lynch IV,Kansas City Royals,663738
Josh Maciejewski,New York Yankees,656671
Sean Manaea,New York Mets,640455
Joe Mantiply,Arizona Diamondbacks,573009
Yuki Matsui,San Diego Padres,673513
Steven Matz,St. Louis Cardinals,571927
Tyler Matzek,Atlanta Braves,554431
Tim Mayza,New York Yankees,641835
T.J. McFarland,Oakland Athletics,519008
John Means,Baltimore Orioles,607644
Wade Miley,Milwaukee Brewers,489119
Erik Miller,San Francisco Giants,669062
Hoby Milner,Milwaukee Brewers,571948
A.J. Minter,Atlanta Braves,621345
Anthony Misiewicz,New York Yankees,664948
Sam Moll,Cincinnati Reds,594580
Jordan Montgomery,Arizona Diamondbacks,656756
Mason Montgomery,Tampa Bay Rays,682254
Matt Moore,Los Angeles Angels,519043
Adrian Morejon,San Diego Padres,670970
Kyle Muller,Oakland Athletics,666205
Parker Mushinski,Houston Astros,656786
Andrew Nardi,Miami Marlins,677053
Kyle Nelson,Arizona Diamondbacks,669459
Sean Newcomb,Oakland Athletics,656794
Jack O'Loughlin,Oakland Athletics,672552
Steven Okert,Minnesota Twins,595345
Mitchell Parker,Washington Nationals,680730
James Paxton,Boston Red Sox,572020
Walter Pennington,Texas Rangers,679156
Zach Penrod,Boston Red Sox,683068
Luis Peralta,Colorado Rockies,678821
Sammy Peralta,Chicago White Sox,671111
Wandy Peralta,San Diego Padres,593974
Cionel Pérez,Baltimore Orioles,672335
Martín Pérez,San Diego Padres,527048
David Peterson,New York Mets,656849
Colin Poche,Tampa Bay Rays,621363
Cade Povich,Baltimore Orioles,700249
A.J. Puk,Arizona Diamondbacks,640462
José Quijada,Los Angeles Angels,650671
Jose Quintana,New York Mets,500779
Cole Ragans,Kansas City Royals,666142
Brooks Raley,New York Mets,548384
Nick Ramirez,Los Angeles Dodgers,598286
Robbie Ray,San Francisco Giants,592662
Carlos Rodón,New York Yankees,607074
Eduardo Rodriguez,Arizona Diamondbacks,593958
Joely Rodríguez,Boston Red Sox,570257
Josh Rogers,Colorado Rockies,642028
Taylor Rogers,San Francisco Giants,573124
Trevor Rogers,Baltimore Orioles,669432
JoJo Romero,St. Louis Cardinals,668941
Kenny Rosenberg,Los Angeles Angels,670046
Andrew Saalfrank,Arizona Diamondbacks,685314
Erik Sabrowski,Cleveland Guardians,681870
Chris Sale,Atlanta Braves,519242
Bryan Sammons,Detroit Tigers,676614
Cristopher Sánchez,Philadelphia Phillies,650911
Patrick Sandoval,Los Angeles Angels,663776
Tayler Saucedo,Seattle Mariners,642048
Tanner Scott,San Diego Padres,656945
JP Sears,Oakland Athletics,676664
Chasen Shreve,Colorado Rockies,592741
Jared Shuster,Chicago White Sox,694363
Tarik Skubal,Detroit Tigers,669373
Will Smith,Kansas City Royals,519293
Drew Smyly,Chicago Cubs,592767
Kirby Snead,Seattle Mariners,669912
Blake Snell,San Francisco Giants,605483
Gregory Soto,Baltimore Orioles,642397
Gabe Speier,Seattle Mariners,642100
Jeffrey Springs,Tampa Bay Rays,605488
Justin Steele,Chicago Cubs,657006
Matt Strahm,Philadelphia Phillies,621381
José Suarez,Los Angeles Angels,660761
Ranger Suarez,Philadelphia Phillies,624133
Brent Suter,Cincinnati Reds,608718
Caleb Thielbar,Minnesota Twins,573204
Zack Thompson,St. Louis Cardinals,668868
Framber Valdez,Houston Astros,664285
Anthony Veneziano,Miami Marlins,685107
Alex Vesia,Los Angeles Dodgers,681911
Nick Vespi,Baltimore Orioles,663989
Josh Walker,New York Mets,677020
Blake Walston,Arizona Diamondbacks,686796
