Name,Team,MLBAMID
Mick Abel,Minnesota Twins,690953
Bryan Abreu,Houston Astros,650556
Garrett Acton,Tampa Bay Rays,670183
Jason Adam,San Diego Padres,592094
Travis Adams,Minnesota Twins,701519
Ty Adcock,New York Mets,686654
Zach Agnos,Colorado Rockies,688642
Jorge Alcala,St. Louis Cardinals,660896
Sandy Alcantara,Miami Marlins,645261
Jason Alexander,Houston Astros,669920
Dan Altavilla,Chicago White Sox,656186
Elvis Alvarado,Athletics,665660
Grant Anderson,Milwaukee Brewers,681982
Ian Anderson,Los Angeles Angels,666120
Nick Anderson,Colorado Rockies,623433
Shaun Anderson,Los Angeles Angels,641312
Luarbert Arias,Miami Marlins,678215
Shawn Armstrong,Texas Rangers,542888
Spencer Arrighetti,Houston Astros,681293
Braxton Ashcraft,Pittsburgh Pirates,677952
Graham Ashcraft,Cincinnati Reds,668933
Javier Assad,Chicago Cubs,665871
Luinder Avila,Kansas City Royals,679883
Lake Bachar,Miami Marlins,669199
Sam Bachman,Los Angeles Angels,696147
Bryan Baker,Tampa Bay Rays,641329
Scott Barlow,Cincinnati Reds,605130
Jacob Barnes,Toronto Blue Jays,606930
Mason Barnett,Athletics,686930
Chris Bassitt,Toronto Blue Jays,605135
Félix Bautista,Baltimore Orioles,642585
Shane Baz,Tampa Bay Rays,669358
Eduard Bazardo,Seattle Mariners,660825
Tristan Beck,San Francisco Giants,663941
David Bednar,New York Yankees,670280
Clayton Beeter,Washington Nationals,690925
Brayan Bello,Boston Red Sox,678394
Valente Bellozo,Miami Marlins,678368
Anthony Bender,Miami Marlins,669622
Ryan Bergert,Kansas City Royals,686701
José Berríos,Toronto Blue Jays,621244
Tanner Bibee,Cleveland Guardians,676440
Osvaldo Bido,Athletics,674370
Shane Bieber,Toronto Blue Jays,669456
Hunter Bigge,Tampa Bay Rays,685801
Jake Bird,New York Yankees,656234
Hayden Birdsong,San Francisco Giants,806185
Spencer Bivens,San Francisco Giants,702352
Mason Black,San Francisco Giants,696131
Paul Blackburn,New York Yankees,621112
Bradley Blalock,Colorado Rockies,687134
Ronel Blanco,Houston Astros,669854
Scott Blewett,Baltimore Orioles,656240
AJ Blubaugh,Houston Astros,805123
Cody Bolton,Cleveland Guardians,675989
Caleb Boushley,Texas Rangers,676961
Jonathan Bowlan,Kansas City Royals,680742
Matt Bowman,Baltimore Orioles,621199
Joe Boyle,Tampa Bay Rays,671212
Kyle Bradish,Baltimore Orioles,680694
Taj Bradley,Minnesota Twins,671737
Matt Brash,Seattle Mariners,666374
Ryan Brasier,Chicago Cubs,518489
Huascar Brazobán,New York Mets,623211
John Brebbia,Atlanta Braves,605154
Beau Brieske,Detroit Tigers,689225
Jeff Brigham,Arizona Diamondbacks,656257
Connor Brogdon,Los Angeles Angels,641401
Ben Brown,Chicago Cubs,676962
Hunter Brown,Houston Astros,686613
McCade Brown,Colorado Rockies,685326
JT Brubaker,San Francisco Giants,664141
Zach Brzykcy,Washington Nationals,694350
Walker Buehler,Philadelphia Phillies,621111
Nick Burdi,Boston Red Sox,595897
Juan Burgos,Arizona Diamondbacks,686228
Sean Burke,Chicago White Sox,680732
Corbin Burnes,Arizona Diamondbacks,669203
Chase Burns,Cincinnati Reds,695505
Ryan Burr,Toronto Blue Jays,621114
Mike Burrows,Pittsburgh Pirates,681347
José Buttó,San Francisco Giants,676130
Edward Cabrera,Miami Marlins,665795
Isaiah Campbell,Boston Red Sox,663462
Griffin Canning,New York Mets,656288
Jonathan Cannon,Chicago White Sox,686563
Yennier Cano,Baltimore Orioles,666974
Carlos Carrasco,Atlanta Braves,471911
