Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Hagen Danner","TOR",0,0,1,0,0,0,0,0,0,3,4,7,0,0,1,0,0,1,"Hagen Danner",22116,668470
"Chris Vallimont","BAL",1,0,1,0,0,0,0,0,0,5,6,11,1,0,0,0,0,1,"Chris Vallimont",24935,681808
"Miles Mastrobuoni","CHC",0.75,1,0.6,0.2,0.2,0,1,0,0,7,10,17,0.6,0,0.4,0,0.2,0.8,"Miles Mastrobuoni",20017,670156
"Riley Pint","COL",0.5,0.666666666,0,0.4,0.6,0,0.333333333,0,0,25,18,43,0.4,0.2,0.4,0.2,0,0.8,"Riley Pint",21858,666207
"Martín Maldonado","HOU",0.5714285714285714,0.25,0.375,0.125,0.5,0,0.25,0,0,16,14,30,0.5,0.375,0.125,0,0.25,0.75,"Martin Maldonado",6887,455117
"Enrique Hernández","LAD",0,1,0.5,0.25,0.25,1,0,0,0,4,5,9,0.75,0.25,0,0.25,0,0.75,"Enrique Hernandez",10472,571771
"Jonathan Schoop","DET",0.25,0.5,0.25,0.25,0.5,0,0,2,13.500003218651585,4,13,17,0,0.75,0.25,0,0.25,0.75,"Jonathan Schoop",11265,570731
"David Bote","CHC",0.25,1,0,0.5,0.5,0,0,1,9,8,7,15,0.25,0.75,0,0,0.25,0.75,"David Bote",14593,623520
"Nate Eaton","KCR",0.5,3,0.25,0.75,0,0,0,0,0,9,13,22,0.5,0.25,0.25,0,0.25,0.75,"Nate Eaton",25055,681987
"José Lopez","TBR",0.42857142857142855,0.666666666,0.285714285,0.285714285,0.428571428,0,0,0,0,26,25,51,0.57142857,0.28571429,0.14285714,0,0.28571429,0.71428571,"Jose Lopez",22982,673111
"Josh Donaldson","NYY",0,0.5,0,0.333333333,0.666666666,0,0,3,27,4,7,11,0,1,0,0,0.33333333,0.66666667,"Josh Donaldson",5038,518626
"Alex Claudio","MIL",0.6666666666666666,0,1,0,0,0,0,0,0,0,4,4,0.33333333,0.33333333,0.33333333,0,0.33333333,0.66666667,"Alex Claudio",12890,592222
"Forrest Whitley","HOU",0.3333333333333333,0,0.666666666,0,0.333333333,0,0,2,27.000028163224034,10,8,18,0.33333333,0.66666667,0,0,0.33333333,0.66666667,"Forrest Whitley",19586,666215
