Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","David Peralta","SDP",7,10,8,3,2,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0.375,2136
"Total","Carlos Santana","MIN",53,101,95,30,18,6,0,6,13,17,5,0,18,1,0,0,3,0,0,0.315789473,2396
"Total","Tommy Pham","2 Tms",30,62,52,14,7,3,1,3,10,8,9,0,14,1,0,0,0,2,0,0.269230769,2967
"Total","Anthony Rizzo","NYY",36,69,65,13,12,1,0,0,3,2,1,0,12,2,1,0,1,0,0,0.2,3473
"Total","Jason Heyward","LAD",7,9,9,2,1,0,0,1,1,1,0,0,4,0,0,0,0,0,0,0.222222222,4940
"Total","Giancarlo Stanton","NYY",31,67,64,15,9,3,0,3,7,7,3,0,18,0,0,0,1,0,0,0.234375,4949
"Total","Justin Turner","2 Tms",35,70,63,18,12,6,0,0,5,9,6,0,11,0,1,0,1,0,1,0.285714285,5235
"Total","Robbie Grossman","2 Tms",38,86,71,22,15,4,0,3,12,11,14,0,14,0,1,0,2,2,0,0.309859154,5254
"Total","Aaron Hicks","LAA",9,16,15,3,2,0,0,1,2,2,1,0,5,0,0,0,1,0,0,0.2,5297
"Total","Brandon Crawford","STL",10,11,10,2,1,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0.2,5343
"Total","Freddie Freeman","LAD",67,144,122,30,18,6,1,5,14,19,15,1,19,4,3,0,6,3,0,0.245901639,5361
"Total","Jose Altuve","HOU",49,116,107,37,28,6,0,3,18,10,7,1,21,2,0,0,3,5,2,0.345794392,5417
"Total","Kyle Higashioka","SDP",30,59,55,12,5,2,1,4,6,12,4,0,17,0,0,0,1,0,0,0.218181818,5517
"Total","Avisail Garcia","MIA",13,32,31,8,6,1,0,1,3,1,1,0,8,0,0,0,2,0,0,0.258064516,5760
"Total","Wilmer Flores","SFG",44,105,94,20,11,7,0,2,6,16,8,1,12,0,3,0,0,0,0,0.212765957,5827
"Total","J.D. Martinez","NYM",41,94,79,23,15,4,0,4,12,18,13,0,25,2,0,0,1,0,0,0.29113924,6184
"Total","Martin Maldonado","CHW",25,42,38,2,1,0,0,1,2,3,2,0,16,0,0,2,2,0,0,0.052631578,6887
"Total","Salvador Perez","KCR",47,91,84,24,18,3,0,3,8,11,6,3,17,1,0,0,1,0,0,0.285714285,7304
"Total","Travis d'Arnaud","ATL",25,50,46,13,7,2,0,4,8,9,2,0,11,1,1,0,1,0,0,0.282608695,7739
"Total","Miguel Rojas","LAD",34,73,67,18,10,6,0,2,6,10,6,0,7,0,0,0,3,4,0,0.268656716,7802
"Total","Charlie Blackmon","COL",46,76,67,17,12,4,0,1,5,4,7,0,9,2,0,0,1,1,1,0.253731343,7859
"Total","Matt Carpenter","STL",14,17,15,5,5,0,0,0,0,3,1,0,4,1,0,0,0,0,0,0.333333333,8090
"Total","Ehire Adrianza","LAA",4,9,9,2,1,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0.222222222,8418
"Total","Donovan Solano","SDP",37,79,70,22,17,3,0,2,6,7,9,0,13,0,0,0,2,0,0,0.314285714,8623
"Total","Paul Goldschmidt","STL",55,111,99,27,19,6,0,2,17,8,10,0,22,1,0,0,1,3,0,0.272727272,9218
