Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
Total,Petey Halpin,CLE,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,690984
Total,Trey Lipscomb,WSN,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,702358
Total,Logan Davidson,LAA,5,8,7,4,3,1,0,0,0,2,1,0,1,0,0,0,0,0,0,.571,669722
Total,Akil Baddoo,DET,2,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.500,668731
Total,Billy Cook,PIT,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,695257
Total,Jonathan Ornelas,ATL,3,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.500,680716
Total,Bryan Ramos,CWS,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,682868
Total,César Salazar,HOU,4,7,6,3,3,0,0,0,0,1,0,0,2,1,0,0,0,0,0,.500,663967
Total,Anthony Seigler,MIL,3,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500,678011
Total,Jared Young,NYM,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,676724
Total,Triston Casas,BOS,9,12,11,5,2,2,0,1,0,2,1,0,2,0,0,0,1,0,0,.455,671213
Total,Jorge Alfaro,WSN,5,9,9,4,3,1,0,0,0,1,0,0,3,0,0,0,0,0,0,.444,595751
Total,Tomás Nido,DET,7,10,9,4,4,0,0,0,0,1,0,0,1,0,0,1,1,0,0,.444,621512
Total,José Azocar,NYM,5,9,7,3,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,.429,640492
Total,Rob Brantly,MIA,3,7,7,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.429,542963
Total,Nathan Church,STL,9,14,12,5,4,1,0,0,0,4,0,0,4,0,0,2,0,0,0,.417,701675
Total,Carlos Cortes,OAK,3,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.400,666126
Total,Tyler Heineman,TOR,30,50,43,17,12,4,0,1,0,8,3,0,6,2,1,1,1,0,0,.395,623168
Total,Miguel Andujar,CIN,44,93,90,35,26,5,0,4,0,11,3,1,16,0,0,0,3,0,0,.389,609280
Total,Hyeseong Kim,LAD,18,21,21,8,6,1,0,1,0,3,0,0,8,0,0,0,0,0,0,.381,808975
Total,Nick Sogard,BOS,18,35,35,13,9,4,0,0,0,2,0,0,9,0,0,0,1,0,0,.371,686765
Total,Nico Hoerner,CHC,74,149,141,52,38,8,2,4,0,16,4,0,8,3,1,0,0,0,0,.369,663538
Total,Shea Langeliers,OAK,61,123,120,44,28,6,0,10,0,24,2,0,26,0,1,0,2,0,0,.367,669127
Total,Tristan Gray,TBR,13,23,22,8,4,2,0,2,0,5,1,0,3,0,0,0,0,0,0,.364,656484
Total,Jason Heyward,SDP,10,12,11,4,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.364,518792
Total,José Tena,WSN,11,16,14,5,2,3,0,0,0,3,2,0,2,0,0,0,0,0,0,.357,677588
Total,Edgar Quero,CWS,62,137,129,46,35,10,0,1,0,14,7,0,23,1,0,0,3,0,0,.357,700337
Total,Cody Bellinger,NYY,93,176,153,54,34,10,2,8,0,36,18,0,17,1,4,0,3,0,0,.353,641355
Total,Matthew Lugo,LAA,12,17,17,6,4,1,0,1,0,4,0,0,4,0,0,0,1,0,0,.353,683090
Total,Zack Short,HOU,10,19,17,6,4,1,0,1,0,5,2,0,8,0,0,0,0,0,0,.353,670097
Total,Joey Loperfido,TOR,12,23,20,7,7,0,0,0,0,3,1,0,4,1,0,1,2,0,0,.350,694388
Total,Austin Martin,MIN,25,57,52,18,13,4,0,1,0,2,5,0,10,0,0,0,2,0,0,.346,668885
Total,Yordan Alvarez,HOU,17,38,32,11,5,4,0,2,0,6,6,0,4,0,0,0,0,0,0,.344,670541
Total,Jackson Chourio,MIL,74,149,137,47,29,10,1,7,0,29,11,1,33,0,1,0,3,0,0,.343,694192
Total,Aaron Judge,NYY,77,161,123,42,19,7,0,16,0,30,37,22,37,0,1,0,6,0,0,.341,592450
Total,Geraldo Perdomo,ARI,105,219,185,63,49,7,1,6,0,29,26,0,15,0,3,5,3,0,0,.341,672695
Total,Jacob Wilson,OAK,53,117,110,37,28,5,0,4,0,10,5,0,8,1,0,1,4,0,0,.336,805779
Total,Paul Goldschmidt,NYY,82,168,149,50,29,14,0,7,0,16,17,5,19,2,0,0,2,0,0,.336,502671
Total,Kevin Alcántara,CHC,3,7,6,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333,682634
Total,Griffin Conine,MIA,14,23,21,7,3,4,0,0,0,3,2,0,6,0,0,0,0,0,0,.333,665052
Total,Yanquiel Fernández,COL,8,9,9,3,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,.333,692585
Total,Dom Nuñez,CLE,2,6,6,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.333,624513
Total,Ali Sánchez,BOS,5,6,6,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.333,645305
Total,Nick Yorke,PIT,11,25,24,8,6,2,0,0,0,3,1,0,4,0,0,0,0,0,0,.333,694377
Total,Romy Gonzalez,BOS,60,143,130,43,24,10,2,7,0,25,11,1,32,0,2,0,5,0,0,.331,663853
Total,Dillon Dingler,DET,60,121,112,37,20,11,1,5,0,18,9,1,27,0,0,0,1,0,0,.330,693307
Total,Iván Herrera,STL,62,124,97,32,18,5,0,9,0,22,19,1,18,5,2,0,5,0,0,.330,671056
Total,Bobby Witt Jr.,KCR,72,146,131,43,27,12,3,1,0,12,13,5,30,1,1,0,1,0,0,.328,677951
Total,Vladimir Guerrero Jr.,TOR,70,159,135,44,30,8,0,6,0,24,23,4,20,1,0,0,2,0,0,.326,665489
Total,Ernie Clement,TOR,97,187,175,57,31,19,1,6,0,18,8,1,19,0,2,2,0,0,0,.326,676391
Total,Jakob Marsee,MIA,37,81,74,24,13,8,0,3,0,12,6,0,18,0,1,0,2,0,0,.324,805300
Total,JJ Bleday,OAK,41,73,68,22,16,3,0,3,0,9,5,0,18,0,0,0,2,0,0,.324,668709
Total,Trea Turner,PHI,95,205,189,61,46,8,3,4,0,17,14,1,32,2,0,0,1,0,0,.323,607208
Total,José Ramírez,CLE,95,196,174,56,37,11,2,6,0,26,18,7,18,1,2,0,5,0,0,.322,608070
Total,Austin Hays,CIN,58,105,91,29,15,9,3,2,0,17,12,1,24,1,1,0,1,0,0,.319,669720
Total,Alex Bregman,BOS,68,133,113,36,29,4,0,3,0,10,19,2,20,1,0,0,3,0,0,.319,608324
Total,Javier Báez,DET,68,134,129,41,32,5,2,2,0,17,3,0,31,1,1,0,0,0,0,.318,595879
Total,Edmundo Sosa,PHI,57,116,107,34,23,5,0,6,0,16,6,0,28,2,1,0,4,0,0,.318,624641
Total,Sam Haggerty,TEX,44,94,85,27,19,6,2,0,0,6,7,1,18,1,0,0,1,0,0,.318,664059
Total,Oswaldo Cabrera,NYY,17,21,19,6,6,0,0,0,0,2,1,0,4,1,0,0,1,0,0,.316,665828
Total,Maikel Garcia,KCR,68,137,118,37,20,13,1,3,0,16,18,0,20,0,0,1,2,0,0,.314,672580
