Name,playerId,Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Stone Garrett,656448,Total,WSN,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Darren Baker,671117,Total,WSN,7,14,14,7,5,2,0,0,0,0,0,0,3,0,0,0,0,0,0,.500
Matthew Batten,676946,Total,SDP,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.500
Ryan McKenna,663630,Total,SFG,3,3,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.500
Samad Taylor,669392,Total,SEA,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Hunter Feduccia,676439,Total,LAD,5,11,10,4,4,0,0,0,0,1,1,0,1,0,0,0,1,0,0,.400
Alex Call,669743,Total,WSN,24,77,68,25,16,8,0,1,0,8,8,0,11,1,0,0,2,0,0,.368
Rece Hinds,677956,Total,CIN,14,31,28,10,1,4,1,4,0,8,2,0,9,1,0,0,0,0,0,.357
Will Wagner,695238,Total,TOR,22,64,61,21,14,6,0,1,0,9,3,0,9,0,0,0,3,0,0,.344
Victor Robles,645302,Total,SEA,68,192,166,57,38,16,0,3,0,22,11,0,36,9,3,3,2,0,0,.343
Xavier Edwards,669364,Total,MIA,66,209,185,63,49,10,3,1,0,20,21,1,35,0,3,0,0,0,0,.341
Bobby Witt Jr.,677951,Total,KCR,157,566,503,169,96,35,10,28,0,91,50,8,88,7,6,0,3,0,0,.336
David Bote,623520,Total,CHC,10,16,15,5,5,0,0,0,0,0,1,0,5,0,0,0,0,0,0,.333
Diego Castillo,660636,Total,MIN,2,4,3,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,.333
David Fletcher,664058,Total,ATL,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Yuli Gurriel,493329,Total,KCR,14,38,33,11,8,3,0,0,0,3,4,0,8,0,1,0,1,0,0,.333
Dustin Harris,687957,Total,TEX,2,7,6,2,0,1,0,1,0,3,1,0,2,0,0,0,0,0,0,.333
Cade Marlowe,687799,Total,SEA,5,7,6,2,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,.333
Orelvis Martinez,682619,Total,TOR,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
César Salazar,663967,Total,HOU,10,24,18,6,4,2,0,0,0,6,2,0,2,1,2,1,0,0,0,.333
Myles Straw,664702,Total,CLE,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Austin Wynns,642851,Total,CIN,4,10,9,3,1,2,0,0,0,1,0,0,2,1,0,0,0,0,0,.333
Luis Arraez,650333,Total,SDP,133,468,445,148,118,25,2,3,0,32,18,3,12,3,1,1,12,0,0,.333
Nathan Lukes,664770,Total,TOR,21,77,64,21,15,3,2,1,0,10,8,0,6,0,3,2,1,0,0,.328
Vladimir Guerrero Jr.,665489,Total,TOR,155,558,499,163,103,35,1,24,0,76,50,7,81,5,4,0,11,0,0,.327
Aaron Judge,592450,Total,NYY,151,520,427,139,68,28,1,42,0,106,83,11,125,7,2,0,14,0,0,.326
Iván Herrera,671056,Total,STL,62,175,155,50,35,11,1,3,0,18,17,0,34,1,1,0,3,0,0,.323
Shohei Ohtani,660271,Total,LAD,145,482,410,132,59,26,5,42,0,91,61,10,104,4,4,0,3,0,0,.322
Blake Sabol,666165,Total,SFG,11,34,28,9,7,2,0,0,0,1,5,1,8,1,0,0,0,0,0,.321
Jose Miranda,669304,Total,MIN,106,289,268,84,52,21,4,7,0,34,14,1,39,5,2,0,8,0,0,.313
Yoán Moncada,660162,Total,CWS,10,36,32,10,6,3,1,0,0,0,4,0,8,0,0,0,2,0,0,.313
Christian Yelich,592885,Total,MIL,69,216,183,57,38,10,2,7,0,27,30,3,41,1,1,0,2,0,0,.311
Jackson Merrill,701538,Total,SDP,146,437,408,127,75,27,6,19,0,73,21,1,78,1,3,4,2,0,0,.311
Rafael Marchán,665561,Total,PHI,13,32,29,9,5,3,0,1,0,4,2,0,5,1,0,0,0,0,0,.310
Carlos Correa,621043,Total,MIN,84,278,242,75,49,16,1,9,0,39,31,2,46,2,3,0,5,0,0,.310
Masataka Yoshida,807799,Total,BOS,107,313,284,88,62,18,0,8,0,42,18,0,42,11,0,0,5,0,0,.310
