game_id,probability_no_strikeouts,implied_probability_no_strikeouts,ev_no_strikeouts,probability_no_hits,implied_probability_no_hits,ev_no_hits,probability_under_four_batters_to_plate,implied_probability_under_four_batters_to_plate,ev_under_four_batters_to_plate
NYY/PHI - Bot 1,0.2566,0.339,-0.0824,0.4654,0.4255,0.0399,0.3395,0.3448,-0.0053
MIA/TB - Top 1,0.3162,0.2222,0.094,0.4299,0.5349,-0.105,0.3497,0.4255,-0.0758
MIA/TB - Bot 1,0.3866,0.3636,0.023,0.4602,0.4255,0.0347,0.3465,0.3571,-0.0106
TOR/BAL - Top 1,0.3566,0.274,0.0826,0.4078,0.4878,-0.08,0.3368,0.4255,-0.0887
TOR/BAL - Bot 1,0.3252,0.4167,-0.0915,0.2912,0.4,-0.1088,0.2218,0.3333,-0.1115
NYY/PHI - Top 1,0.3723,0.4,-0.0277,0.4222,0.4444,-0.0222,0.3413,0.3846,-0.0433
MIN/NYM - Bot 1,0.2833,0.2439,0.0394,0.447,0.5,-0.053,0.3624,0.3922,-0.0298
KC/CWS - Bot 1,0.3849,0.3846,0.0003,0.4615,0.4762,-0.0146999999999999,0.3783999999999999,0.4,-0.0216
KC/CWS - Top 1,0.4414,0.4878,-0.0464,0.4785,0.4,0.0784999999999999,0.3802,0.3846,-0.0044
ATL/MIL - Top 1,0.228,0.2222,0.0058,0.4561,0.5122,-0.0560999999999999,0.3648,0.3922,-0.0273999999999999
ATL/MIL - Bot 1,0.2351,0.1905,0.0446,0.4527,0.5455,-0.0928,0.3895999999999999,0.4878,-0.0982
TEX/STL - Bot 1,0.349,0.3448,0.0041999999999999,0.4213,0.4348,-0.0135,0.3541999999999999,0.3774,-0.0232
SEA/BOS - Bot 1,0.3375,0.3077,0.0298,0.4065,0.4444,-0.0379,0.3621,0.4255,-0.0634
SEA/BOS - Top 1,0.2787,0.2985,-0.0197999999999999,0.4352,0.4348,0.0003999999999999,0.3397,0.3922,-0.0524999999999999
WAS/ARI - Top 1,0.3042,0.3175,-0.0132999999999999,0.4058,0.5,-0.0942,0.3363,0.4167,-0.0803999999999999
WAS/ARI - Bot 1,0.2952,.3226,-0.02739999999999998,0.4129,.4167,-0.0038000000000000256,0.30500000000000005,.3774,-0.07239999999999996
