Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI",23,10,0,51,51,308.2,9.855291718771426,2.1576674177191877,0.9038877020174977,0.2742138364779874,0.73748309,0.417274939,0.099678456,95.78436304953877,3.2656587943857978,,3.20989656452134,3.5088471371801564,8.83570208580646,"Zack Wheeler",10310,554430
"Sonny Gray","- - -",17,14,0,49,49,283.2,9.645123568003775,2.5064630324746653,0.5076380825265144,0.29624664879356566,0.72944297,0.464095744,0.06722689,92.830022678341,2.9823737348432724,,2.7320987923974913,3.334637004490526,8.201916073025195,"Sonny Gray",12768,543243
"Logan Webb","SFG",18,20,0,53,53,340.1,7.959843454460492,1.560235095724814,0.6875612286244943,0.3112719751809721,0.72630398,0.604251012,0.122065727,92.69998569488526,3.332027492564857,,3.026873078150299,3.026167162208431,7.910896431670174,"Logan Webb",17995,657277
"George Kirby","SEA",20,17,0,51,51,308.1,8.406486651161035,0.9340540723512262,0.963243262112202,0.28901734104046245,0.73794096,0.426966292,0.097058823,96.11977447561755,3.327567632751243,,3.141435683286644,3.497818406308174,7.649675402251786,"George Kirby",25436,669923
"Kevin Gausman","TOR",19,17,0,50,50,289,10.619377442973772,2.553633285407183,1.0588235573639537,0.31775700934579443,0.73217726,0.41032258,0.114478114,94.40986592295891,3.6435987121053706,,3.2939773067434395,3.3916249371690976,6.839565473358104,"Kevin Gausman",14107,592332
"Tarik Skubal","DET",17,6,0,34,34,196.1,11.093378787427342,1.6044142874378386,0.6417657149751355,0.26881720430107525,0.74051408,0.490526315,0.088607594,96.48403402355683,2.567062859900542,,2.3337912667179737,2.6498287894009924,6.8193678954754375,"Tarik Skubal",22267,669373
"Justin Steele","CHC",18,8,0,44,44,259.2,8.907573997963693,1.871630334202488,0.7625160620824951,0.29108635097493035,0.72293717,0.47245179,0.093617021,,2.9460847853187313,,3.0852401851544244,3.417966955853271,6.703494983257449,"Justin Steele",17312,657006
"Zac Gallen","ARI",23,14,0,49,49,286.2,9.293023492834779,2.134883775380963,0.94186048913866,0.30223390275952694,0.7260274,0.425126903,0.110294117,93.54298425358247,3.5790698587269083,,3.299742270066861,3.4650563582714735,6.57378174934943,"Zac Gallen",19291,668678
"Zach Eflin","TBR",21,14,0,48,48,277,8.57761747617786,1.0722021845222325,1.03971120923368,0.2923076923076923,0.71597168,0.470074812,0.112676056,92.98923217449929,3.671480207606433,,3.2394813440093904,3.3563748593985974,6.455007122615611,"Zach Eflin",13774,621107
"Dylan Cease","- - -",15,17,0,53,53,292,11.188356529796174,3.5445206637095317,1.0479452397054267,0.31043956043956045,0.69148936,0.354581673,0.107594936,96.22159658723443,4.3458905528960345,,3.540046606059528,3.7389231529227898,6.213117032829606,"Dylan Cease",18525,656302
