Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
Total,Logan Evans,SEA,16,174,0.00,41,6,2,0,0,6,15,0,2,25,.265,.335,.445,,688138
Total,Noah Davis,MIN,9,28,0.00,11,0,0,0,0,6,3,0,5,4,.550,.679,1.450,,663562
Total,Jared Triolo,PIT,1,2,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,,669707
Total,Kade Strowd,BAL,19,37,0.00,6,1,0,0,0,0,2,0,0,13,.176,.216,.206,,669704
Total,Juan Mejia,COL,51,126,0.00,28,6,1,0,0,3,17,1,2,20,.267,.376,.429,,675848
Total,Austin Hedges,CLE,3,7,0.00,3,1,0,0,0,0,0,0,0,1,.500,.429,.667,,595978
Total,Greg Weissert,BOS,61,113,0.00,21,5,0,0,0,1,14,1,0,21,.214,.310,.296,,669711
Total,Casey Mize,DET,28,339,0.00,85,17,4,0,0,8,18,1,1,79,.268,.307,.423,,663554
Total,Nate Eaton,BOS,1,2,0.00,1,1,0,0,0,0,0,0,0,0,.500,.500,1.000,,681987
Total,Yoshinobu Yamamoto,LAD,30,331,0.00,53,11,0,0,0,4,23,0,2,96,.174,.236,.249,,808967
Total,Carlos Rodriguez,MIL,4,22,0.00,6,3,0,0,0,0,3,0,0,6,.316,.409,.474,,692230
Total,Jovani Morán,BOS,2,9,0.00,2,0,1,0,0,0,3,0,0,0,.333,.556,.667,,663558
Total,Bailey Falter,KCR,25,129,0.00,32,5,1,0,0,4,7,0,1,21,.269,.313,.429,,663559
Total,Roki Sasaki,LAD,10,85,0.00,14,1,0,0,0,4,15,0,1,15,.203,.353,.391,,808963
Total,Logan Davidson,LAA,1,2,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,,669722
Total,Davis Daniel,ATL,3,15,0.00,3,2,0,0,0,0,2,0,0,2,.231,.333,.385,,669721
Total,Elvis Peguero,CWS,8,19,0.00,6,1,0,0,0,0,3,0,0,5,.375,.474,.438,,665625
Total,Brandon Pfaadt,ARI,33,416,0.00,101,25,1,0,0,14,22,2,11,74,.268,.324,.451,,694297
Total,David Morgan,SDP,37,74,0.00,13,4,0,0,0,0,14,1,2,13,.224,.392,.293,,688158
