Name,playerId,Season,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Noah Davis,663562,Total,COL,9,42,0.00,10,3,0,0,0,1,4,0,0,7,.270,.341,.432,
Austin Hedges,595978,Total,CLE,1,3,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,
Greg Weissert,669711,Total,BOS,53,113,0.00,28,4,0,0,0,6,13,4,0,23,.289,.366,.515,
Peter Lambert,663567,Total,COL,26,123,0.00,31,4,3,0,0,3,14,2,1,23,.301,.377,.485,
Miguel Sanó,593934,Total,LAA,1,1,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,
Casey Mize,663554,Total,DET,22,226,0.00,56,9,3,0,0,5,16,0,2,45,.275,.327,.422,
Yoshinobu Yamamoto,808967,Total,LAD,18,179,0.00,31,4,1,0,0,2,15,0,0,51,.193,.258,.267,
Carlos Rodriguez,692230,Total,MIL,3,27,0.00,11,1,1,0,0,1,0,0,0,6,.423,.423,.654,
Bailey Falter,663559,Total,PIT,26,126,0.00,33,9,0,0,0,3,6,0,0,19,.277,.312,.429,
Victor González,624647,Total,NYY,22,33,0.00,4,0,0,0,0,0,3,0,2,4,.143,.273,.143,
Elvis Peguero,665625,Total,MIL,45,88,0.00,21,2,1,0,0,1,8,2,1,20,.269,.341,.359,
Davis Daniel,669721,Total,LAA,6,72,0.00,18,6,0,0,0,2,3,0,1,15,.265,.306,.441,
Brandon Pfaadt,694297,Total,ARI,32,385,0.00,104,17,5,0,0,12,24,1,2,76,.294,.339,.472,
Brenan Hanifee,669724,Total,DET,19,37,0.00,6,1,1,0,0,1,4,0,0,8,.182,.270,.364,
Antonio Senzatela,622608,Total,COL,3,31,0.00,7,0,1,0,0,1,5,0,0,3,.269,.387,.462,
Stephen Kolek,663568,Total,SDP,35,92,0.00,23,2,0,0,0,0,5,0,2,15,.271,.326,.294,
Hayden Wesneski,669713,Total,CHC,25,124,0.00,25,6,0,0,0,4,8,0,2,25,.219,.282,.377,
Luis Medina,665622,Total,OAK,8,94,0.00,20,3,0,0,0,2,11,1,1,15,.244,.340,.354,
Tony Santillan,663574,Total,CIN,26,48,0.00,8,1,0,0,0,0,2,0,0,16,.174,.208,.196,
Seth Martinez,661527,Total,HOU,38,88,0.00,24,4,1,0,0,4,8,1,0,8,.300,.364,.525,
Deivi García,665620,Total,CWS,13,28,0.00,6,0,0,0,0,2,4,1,0,6,.250,.357,.500,
Adam Ottavino,493603,Total,NYM,52,93,0.00,22,6,1,0,0,4,11,1,4,25,.286,.398,.545,
Jakob Junis,596001,Total,CIN,23,105,0.00,22,2,1,0,0,5,3,0,0,20,.218,.238,.406,
Eduardo Rodriguez,593958,Total,ARI,10,43,0.00,8,1,0,0,0,2,6,0,0,8,.222,.333,.417,
Luis Gil,661563,Total,NYY,29,303,0.00,55,14,2,0,0,10,39,0,1,72,.210,.314,.393,
Slade Cecconi,677944,Total,ARI,20,164,0.00,39,9,1,0,0,7,10,1,3,26,.264,.319,.480,
Luis Guerrero,692285,Total,BOS,9,18,0.00,4,0,0,0,0,0,0,0,0,3,.222,.222,.222,
Wandy Peralta,593974,Total,SDP,39,58,0.00,13,1,0,0,0,2,4,0,4,8,.260,.362,.400,
Max Fried,608331,Total,ATL,27,157,0.00,45,5,0,0,0,5,14,0,3,38,.321,.395,.464,
Ryan Weathers,677960,Total,MIA,14,75,0.00,14,4,0,0,0,0,7,0,2,19,.212,.307,.273,
Tucker Barnhart,571466,Total,ARI,1,3,0.00,3,0,0,0,0,1,0,0,0,0,1.000,1.000,2.000,
Zach Brzykcy,694350,Total,WSN,4,6,0.00,2,0,0,0,0,0,2,0,0,1,.500,.667,.500,
Kyle Tyler,667725,Total,MIA,8,76,0.00,25,2,0,0,0,3,9,0,0,14,.373,.447,.537,
Carson Fulmer,608334,Total,LAA,35,179,0.00,44,14,0,0,0,6,18,2,2,33,.282,.362,.487,
Jaden Hill,677955,Total,COL,9,22,0.00,3,0,0,0,0,0,2,0,1,3,.167,.273,.167,
Kumar Rocker,677958,Total,TEX,3,28,0.00,4,0,0,0,0,0,5,0,0,8,.182,.321,.182,
Spencer Strider,675911,Total,ATL,2,21,0.00,6,1,0,0,0,2,2,0,0,5,.316,.381,.684,
Jake Irvin,663623,Total,WSN,33,398,0.00,89,20,2,0,0,17,33,1,2,78,.247,.313,.456,
Jacob Lopez,682052,Total,TBR,4,17,0.00,3,1,0,0,0,0,3,0,1,4,.231,.412,.308,
Luis Severino,622663,Total,NYM,31,388,0.00,94,10,1,0,0,16,30,0,5,76,.269,.334,.440,
Cole Irvin,608344,Total,MIN,25,117,0.00,24,3,0,0,0,1,4,0,2,17,.218,.256,.273,
Jared Shuster,694363,Total,CWS,37,119,0.00,32,5,1,0,0,4,6,0,0,23,.291,.319,.464,
Randy Dobnak,677976,Total,MIN,5,21,0.00,6,0,0,0,0,1,3,1,0,4,.333,.429,.500,
Will Klein,694361,Total,OAK,8,17,0.00,7,1,0,0,0,0,3,0,0,2,.538,.588,.615,
David Hensley,682073,Total,MIA,1,6,0.00,1,1,0,0,0,0,1,0,0,0,.333,.333,.667,
Joel Payamps,606303,Total,MIL,60,109,0.00,22,7,1,0,0,6,7,2,0,26,.218,.269,.485,
Spencer Howard,675921,Total,CLE,9,69,0.00,15,2,1,0,0,3,5,0,0,16,.238,.290,.444,
Miguel Castro,612434,Total,ARI,9,24,0.00,6,2,0,0,0,0,1,0,0,4,.261,.292,.348,
Brennan Bernardino,657514,Total,BOS,54,118,0.00,25,4,1,0,0,5,7,0,2,33,.234,.291,.430,
José Soriano,667755,Total,LAA,22,265,0.00,45,7,1,0,0,4,21,1,4,51,.191,.265,.280,
Jose E. Hernandez,669796,Total,PIT,7,11,0.00,3,2,0,0,0,0,1,0,0,3,.300,.364,.500,
Mike Baumann,657508,Total,MIA,53,113,0.00,28,6,3,0,0,4,13,0,0,30,.283,.363,.525,
Elieser Hernández,622694,Total,MIL,7,22,0.00,2,0,0,0,0,2,4,0,0,3,.111,.273,.444,
Michael Wacha,608379,Total,KCR,28,352,0.00,80,18,3,0,0,9,21,1,1,78,.247,.293,.404,
Wes Parsons,641149,Total,CLE,4,17,0.00,3,0,0,0,0,0,1,0,0,3,.188,.235,.188,
Lucas Sims,608371,Total,BOS,44,80,0.00,14,2,0,0,0,3,13,0,2,10,.226,.367,.403,
Matthew Boyd,571510,Total,CLE,7,31,0.00,4,0,0,0,0,2,3,0,0,9,.143,.226,.357,
Tim Herrin,682120,Total,CLE,64,101,0.00,13,2,0,0,0,0,5,0,4,29,.143,.220,.165,
Jordan Leasure,673929,Total,CWS,31,66,0.00,13,4,0,0,0,4,9,0,1,11,.241,.348,.537,
Pablo López,641154,Total,MIN,32,380,0.00,94,16,0,0,0,13,20,0,3,87,.267,.310,.423,
Hogan Harris,663687,Total,OAK,18,73,0.00,16,4,2,0,0,2,13,0,0,18,.267,.397,.500,
Seth Halvorsen,678020,Total,COL,12,30,0.00,6,0,0,0,0,1,2,0,0,8,.214,.267,.321,
David Buchanan,571527,Total,CIN,1,6,0.00,1,1,0,0,0,0,1,0,0,1,.200,.333,.400,
James McArthur,663704,Total,KCR,51,113,0.00,31,2,1,0,0,4,6,1,2,24,.295,.345,.448,
Ronel Blanco,669854,Total,HOU,30,350,0.00,59,14,2,0,0,14,36,0,1,82,.191,.276,.385,
Zach Pop,647315,Total,TOR,48,90,0.00,21,4,0,0,0,6,13,4,0,12,.280,.382,.573,
Matt Carasiti,571539,Total,COL,7,23,0.00,13,3,0,0,0,1,3,0,0,1,.650,.696,.950,
Garrett Stubbs,596117,Total,PHI,4,8,0.00,5,1,0,0,0,1,0,0,0,0,.625,.625,1.125,
Cody Bolton,675989,Total,SEA,16,40,0.00,11,1,0,0,0,0,2,0,0,7,.289,.325,.316,
Shawn Armstrong,542888,Total,CHC,51,113,0.00,37,11,1,0,0,4,9,0,1,26,.359,.416,.602,
Michael Soroka,647336,Total,CWS,24,172,0.00,31,3,3,0,0,6,27,1,1,41,.220,.345,.411,
Chris Roycroft,688297,Total,STL,27,63,0.00,15,2,2,0,0,1,10,0,3,12,.319,.444,.511,
Ray Kerr,678061,Total,ATL,9,37,0.00,9,3,0,0,0,1,4,0,0,10,.273,.351,.455,
Miguel Díaz,622766,Total,HOU,1,2,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,
Caleb Ferguson,657571,Total,HOU,57,96,0.00,17,1,0,0,0,2,14,0,3,22,.218,.354,.308,
Tyler Anderson,542881,Total,LAA,30,178,0.00,34,7,0,0,0,8,20,0,4,32,.221,.326,.422,
Matt Andriese,542882,Total,MIA,4,11,0.00,3,0,1,0,0,1,1,1,0,2,.300,.364,.800,
Luke Weaver,596133,Total,NYY,60,162,0.00,23,3,1,0,0,3,16,0,2,53,.162,.253,.261,
Daniel Lynch IV,663738,Total,KCR,14,51,0.00,5,0,0,0,0,0,4,0,1,14,.114,.196,.114,
Cody Poteet,547001,Total,NYY,5,45,0.00,7,1,0,0,0,1,4,0,0,5,.171,.244,.268,
Adam Cimber,643256,Total,LAA,22,40,0.00,8,2,0,0,0,0,7,2,2,9,.258,.425,.323,
Patrick Corbin,571578,Total,WSN,27,146,0.00,29,9,0,0,0,2,16,1,0,32,.225,.308,.341,
Hurston Waldrep,694462,Total,ATL,2,20,0.00,5,0,0,0,0,3,4,0,0,2,.313,.450,.875,
Joe Jacques,682175,Total,ARI,2,7,0.00,3,0,0,0,0,0,0,0,0,0,.429,.429,.429,
Cade Smith,671922,Total,CLE,69,138,0.00,21,6,1,0,0,0,10,0,0,54,.165,.225,.228,
Reed Garrett,657585,Total,NYM,52,121,0.00,26,5,0,0,0,3,13,1,0,40,.245,.325,.377,
Tim Hill,657612,Total,NYY,60,132,0.00,33,6,0,0,0,0,8,0,1,15,.273,.321,.322,
Edward Cabrera,665795,Total,MIA,20,212,0.00,43,7,1,0,0,8,31,0,1,45,.239,.354,.422,
Jesus Tinoco,622786,Total,MIA,31,84,0.00,13,3,0,0,0,2,6,0,2,22,.171,.250,.289,
Justin Verlander,434378,Total,HOU,17,202,0.00,44,4,2,0,0,10,15,0,2,42,.244,.302,.456,
Kirby Snead,669912,Total,SEA,11,20,0.00,6,1,1,0,0,0,2,0,0,4,.333,.400,.500,
Bryan Hoeing,663773,Total,SDP,32,73,0.00,9,1,0,0,0,1,6,1,0,17,.134,.205,.194,
Jason Adam,592094,Total,SDP,70,121,0.00,17,4,0,0,0,2,9,2,0,34,.152,.215,.241,
Caden Dana,702674,Total,LAA,3,24,0.00,8,3,0,0,0,3,7,0,0,4,.471,.625,1.176,
Cody Bradford,674003,Total,TEX,14,82,0.00,17,4,2,0,0,1,2,0,1,16,.215,.244,.354,
Amos Willingham,686294,Total,WSN,1,3,0.00,1,0,0,0,0,0,0,0,0,0,.333,.333,.333,
Chase Shugart,663767,Total,BOS,6,21,0.00,5,1,0,0,0,1,1,0,0,3,.250,.286,.450,
Jake Woodford,663765,Total,PIT,9,81,0.00,24,5,0,0,0,6,5,0,1,13,.324,.370,.635,
George Kirby,669923,Total,SEA,33,356,0.00,86,19,2,0,0,12,15,0,2,88,.257,.291,.434,
Patrick Sandoval,663776,Total,LAA,11,55,0.00,8,1,0,0,0,1,9,1,3,16,.190,.370,.286,
Matt Barnes,598264,Total,WSN,13,32,0.00,7,2,0,0,0,1,3,0,0,5,.250,.323,.429,
