Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Adam Ottavino","NYM",39,97,3.375,16,2,0,10,9,1,7,0,3,30,0.186046511,0.270833333,0.244186046,0.23996181475619474,1247
"Total","Matt Moore","LAA",43,115,4.97368421,24,4,0,16,14,5,14,0,2,24,0.24742268,0.3539823,0.443298969,0.35065845683612656,1890
"Total","Clayton Kershaw","LAD",1,18,4.9090909,5,1,1,2,2,0,2,0,0,5,0.3125,0.388888888,0.5,0.3820134997367859,2036
"Total","Lance Lynn","STL",20,206,2.75510204,44,8,0,21,15,6,12,0,2,47,0.231578947,0.282926829,0.368421052,0.2856591608466172,2520
"Total","Kenley Jansen","BOS",34,81,3.15,14,4,0,7,7,1,7,0,1,22,0.197183098,0.271604938,0.295774647,0.2539872115041003,3096
"Total","Max Scherzer","TEX",8,84,3.68181818,18,4,0,10,9,4,1,0,0,25,0.216867469,0.226190476,0.409638554,0.2707377565758569,3137
"Total","T.J. McFarland","OAK",37,79,7.94117647,21,3,0,16,15,3,8,4,1,10,0.3,0.379746835,0.471428571,0.3552490297953288,3237
"Total","Justin Wilson","CIN",30,62,4.39534884,15,3,0,7,7,1,4,0,1,15,0.263157894,0.322580645,0.368421052,0.3066462932094451,4301
"Total","Charlie Morton","ATL",19,191,5.28671329,47,13,0,31,28,9,12,0,0,41,0.262569832,0.308900523,0.486033519,0.340997330805394,4676
"Total","Jake Diekman","NYM",38,77,8.64,15,4,1,18,16,6,13,0,1,24,0.241935483,0.376623376,0.629032258,0.41741898230143953,5003
"Total","Aaron Hicks","LAA",1,2,54.00000054,1,0,0,2,2,1,0,0,0,0,0.5,0.5,2,1.0249651670455933,5297
"Total","Brandon Crawford","STL",1,6,9,1,0,0,1,1,0,1,0,1,0,0.25,0.5,0.25,0.3824591338634491,5343
"Total","Jesse Chavez","ATL",31,100,3.50649351,21,3,0,14,10,6,4,0,1,25,0.225806451,0.26,0.451612903,0.3014465844631195,5448
"Total","Ryan Brasier","LAD",10,22,6,3,0,0,4,4,2,2,0,0,7,0.15,0.227272727,0.45,0.2892526388168335,5615
"Total","Huascar Brazoban","MIA",20,68,3.78,11,1,2,11,7,1,3,0,2,20,0.174603174,0.235294117,0.301587301,0.2379738556988099,6107
"Total","Albert Suarez","BAL",21,192,4.02985075,45,13,0,20,20,3,12,0,3,36,0.264705882,0.317460317,0.394117647,0.309666497366769,6175
"Total","Jose Cisnero","LAA",12,32,1.03846154,5,0,0,3,1,1,1,0,1,6,0.172413793,0.225806451,0.275862068,0.22559661057687574,6399
"Total","Carlos Carrasco","CLE",18,196,5.55882353,53,13,1,29,28,10,9,0,4,36,0.294444444,0.338461538,0.544444444,0.3749631970356672,6632
"Total","Craig Kimbrel","BAL",40,79,1.92857143,12,3,0,6,4,0,10,0,2,26,0.181818181,0.303797468,0.227272727,0.2539238839209834,6655
"Total","Julio Teheran","NYM",1,9,13.50000003,4,0,0,2,2,1,1,0,0,1,0.5,0.555555555,0.875,0.5987911687956916,6797
"Total","Chase Anderson","BOS",27,117,4.28048781,25,6,0,18,13,6,8,0,2,18,0.235849056,0.299145299,0.46226415,0.327157541217967,6895
"Total","Martin Perez","PIT",15,265,5.52272727,73,21,0,39,36,10,25,0,1,49,0.30543933,0.373584905,0.518828451,0.3846480502272552,6902
"Total","Luis Garcia","LAA",42,96,1.47945205,18,2,0,6,4,2,5,0,1,19,0.2,0.25,0.288888888,0.24109963265558085,6984
"Total","Ryan Pressly","HOU",39,83,4.42622951,17,7,0,11,10,1,5,0,0,18,0.226666666,0.271604938,0.36,0.2745388076629168,7005
"Total","Fernando Cruz","CIN",48,93,3.375,14,5,0,8,8,0,12,0,1,36,0.177215189,0.29347826,0.240506329,0.2525061057961505,7048
"Total","Daniel Hudson","LAD",38,79,2.94545455,16,1,1,9,6,3,6,0,0,22,0.222222222,0.278481012,0.388888888,0.28925377658650847,7146
"Total","Jay Jackson","MIN",19,62,7.8,13,4,0,13,13,2,5,0,0,16,0.228070175,0.29032258,0.403508771,0.3024971398615068,7432
"Total","Jordan Lyles","KCR",4,9,0,1,1,0,0,0,0,0,0,0,0,0.111111111,0.111111111,0.222222222,0.13951399591233996,7593
"Total","Hunter Strickland","LAA",46,135,3.375,25,5,1,15,13,4,6,1,1,33,0.196850393,0.237037037,0.346456692,0.24989765926973143,7836
"Total","Will Smith","KCR",31,79,5.29411765,20,3,0,10,10,3,8,1,0,9,0.285714285,0.358974358,0.457142857,0.3520836884325201,8048
"Total","Bryan Shaw","CHW",5,12,3.375,3,1,0,1,1,0,1,0,0,3,0.272727272,0.333333333,0.363636363,0.3093232959508896,8110
"Total","David Robertson","TEX",38,97,2.66197183,18,2,0,8,7,1,7,1,2,36,0.209302325,0.28125,0.26744186,0.246214623200266,8241
"Total","Paolo Espino","TOR",2,14,11.57142859,6,2,0,3,3,1,1,0,1,1,0.5,0.571428571,0.916666666,0.6158435898167747,8246
"Total","Justin Verlander","HOU",10,124,2.48275862,31,5,0,9,8,4,6,0,4,26,0.271929824,0.330645161,0.421052631,0.3300845959494191,8700
"Total","Wade Miley","MIL",2,27,7.5,6,0,0,5,5,1,4,0,1,1,0.285714285,0.423076923,0.428571428,0.3825989503126878,8779
"Total","Kirby Yates","TEX",34,79,0.43548387,11,3,0,2,1,1,6,1,0,26,0.154929577,0.217948717,0.239436619,0.20063982304040487,9073
"Total","Nathan Eovaldi","TEX",18,231,2.48275862,42,3,0,16,16,8,15,0,4,57,0.199052132,0.264069264,0.327014218,0.26311174125382397,9132
"Total","Patrick Corbin","WSN",21,407,6,114,23,7,66,62,12,27,0,2,67,0.308108108,0.353086419,0.505405405,0.36609991994904884,9323
"Total","Dallas Keuchel","MIL",4,59,5.25,18,4,1,7,7,2,7,0,0,3,0.352941176,0.423728813,0.588235294,0.42810807288703273,9434
"Total","Joe Kelly","LAD",17,33,3.85714286,8,1,0,4,4,0,1,0,0,9,0.25,0.272727272,0.28125,0.24625947078069052,9761
"Total","Miles Mikolas","STL",21,266,5.203125,71,19,0,38,37,9,7,0,2,37,0.279527559,0.301886792,0.460629921,0.3265965221063146,9803
"Total","Tyler Matzek","ATL",10,25,15.18750001,8,1,0,9,9,2,2,0,0,5,0.347826086,0.4,0.652173913,0.4460372161865234,10058
"Total","Brooks Raley","NYM",7,18,0,2,1,0,0,0,0,3,0,0,5,0.142857142,0.277777777,0.214285714,0.2338724301920997,10061
"Total","Caleb Thielbar","MIN",35,71,6.90697675,19,2,0,11,11,4,8,1,0,15,0.316666666,0.385714285,0.55,0.39162046062773553,10078
"Total","Kyle Gibson","STL",20,230,3.31578947,50,5,0,22,21,5,17,0,1,54,0.238095238,0.296943231,0.333333333,0.2807997811309115,10123
"Total","Shelby Miller","DET",28,74,6.89361702,18,5,0,12,12,5,4,0,4,10,0.276923076,0.351351351,0.584615384,0.39511550117183375,10197
"Total","Tucker Barnhart","ARI",1,4,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.2207341492176056,10200
"Total","Aroldis Chapman","PIT",43,118,4.5,17,4,1,16,14,3,20,0,0,48,0.175257731,0.313559322,0.329896907,0.29252015736143466,10233
"Total","Zack Wheeler","PHI",20,218,1.86206897,31,4,0,15,12,4,10,0,5,68,0.155,0.211981566,0.235,0.20295281069619314,10310
"Total","Erasmo Ramirez","TBR",11,35,5.78571429,6,0,0,7,6,3,2,0,1,7,0.1875,0.257142857,0.46875,0.3114514112472534,10314
"Total","Michael Tonkin","3 Tms",37,149,1.98165138,25,5,0,16,8,3,11,0,6,41,0.192307692,0.281879194,0.3,0.2641654642636344,10315
"Total","Enrique Hernandez","LAD",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10472
"Total","Scott Alexander","OAK",25,57,5.26829268,13,4,0,8,8,2,6,4,0,8,0.270833333,0.345454545,0.479166666,0.3271310095693551,10591
"Total","Chris Sale","ATL",18,358,2.96703297,66,14,2,30,30,6,21,0,4,114,0.19879518,0.25490196,0.307228915,0.2501215355402949,10603
"Total","Merrill Kelly","ARI",3,33,3,8,1,0,3,3,1,2,0,0,7,0.258064516,0.303030303,0.387096774,0.30254353537704004,11156
"Total","Tommy Kahnle","NYY",27,55,3.46153846,11,3,0,7,5,3,7,0,0,12,0.229166666,0.327272727,0.479166666,0.34843662977218626,11384
"Total","Jose Quintana","NYM",20,358,4.16205534,76,16,0,40,39,13,32,0,7,67,0.239747634,0.322128851,0.413249211,0.32319150451852496,11423
"Total","Robbie Ray","SFG",2,32,4.69565217,5,0,0,4,4,2,4,0,2,9,0.192307692,0.34375,0.423076923,0.34228336438536644,11486
"Total","Joely Rodriguez","BOS",8,22,10.12500001,7,2,0,6,6,2,0,0,0,5,0.333333333,0.318181818,0.714285714,0.4209055629643527,11487
"Total","Jose Urena","TEX",24,172,3.48387097,42,9,0,17,16,5,14,0,0,26,0.267515923,0.325581395,0.420382165,0.32521997426831445,11589
"Total","Jameson Taillon","CHC",18,213,3.7125,53,6,0,26,22,7,5,0,0,38,0.259803921,0.274881516,0.392156862,0.2874532415403574,11674
"Total","Luke Jackson","SFG",35,90,4.36764706,19,4,0,11,11,2,6,0,1,21,0.231707317,0.292134831,0.353658536,0.28611528605557557,11752
"Total","Drew Smyly","CHC",27,93,3.17647059,16,5,0,9,8,4,10,2,0,22,0.195121951,0.279569892,0.402439024,0.2877082471009139,11760
"Total","Hector Neris","CHC",37,80,4.82142857,20,6,0,11,10,3,6,1,1,17,0.28169014,0.346153846,0.492957746,0.35804141728908984,11804
"Total","James Paxton","2 Tms",19,345,4.83406114,72,17,1,45,41,11,46,0,1,59,0.246575342,0.345930232,0.424657534,0.33700910210609436,11828
"Total","Taijuan Walker","PHI",10,107,4.2631579,24,4,0,12,12,5,9,0,2,22,0.25,0.327102803,0.447916666,0.3380607817774621,11836
"Total","Chris Martin","BOS",22,42,4.21875,10,1,0,6,5,2,1,0,2,9,0.256410256,0.309523809,0.435897435,0.32545949589638484,11847
"Total","Jason Adam","TBR",43,96,2.95890411,12,0,1,11,8,2,10,2,3,25,0.146341463,0.260416666,0.243902439,0.22685843706130981,11861
"Total","Matt Andriese","MIA",4,15,4.9090909,4,1,0,2,2,1,0,0,0,5,0.266666666,0.266666666,0.533333333,0.3380952994028727,12022
"Total","Kyle Hendricks","CHC",18,166,5.67226891,42,3,1,26,25,4,11,0,1,29,0.278145695,0.325301204,0.390728476,0.31260910917477436,12049
"Total","Scott McGough","ARI",20,71,11.73913044,19,7,1,22,20,5,8,0,1,10,0.316666666,0.394366197,0.716666666,0.4531293016084483,12056
"Total","Yimi Garcia","2 Tms",31,70,0.91525424,7,2,0,2,2,0,3,0,2,24,0.109375,0.173913043,0.140625,0.151303648084834,12095
"Total","Aaron Brooks","OAK",5,72,5.4,19,1,0,12,10,2,4,0,0,9,0.292307692,0.319444444,0.4,0.30894435776604545,12272
"Total","Chris Bassitt","TOR",21,245,2.30113636,56,6,0,17,15,3,17,1,7,59,0.254545454,0.327868852,0.322727272,0.2933239416821013,12304
"Total","Colin Rea","MIL",20,217,2.86875,44,9,0,17,17,6,12,0,4,43,0.218905472,0.276497695,0.35323383,0.2782289998322588,12317
"Total","Jacob Barnes","WSN",36,113,2.54117647,28,4,1,9,8,3,3,0,0,24,0.259259259,0.274336283,0.398148148,0.28755057016305163,12323
"Total","Seth Lugo","KCR",21,261,3.2238806,52,10,1,26,24,8,11,0,2,55,0.213114754,0.25096525,0.360655737,0.2653309514163544,12447
"Total","Blake Treinen","LAD",32,67,1.08,12,1,0,2,2,2,7,0,0,16,0.2,0.283582089,0.316666666,0.27066535469311387,12572
"Total","Nick Ramirez","LAD",7,35,9.94736843,13,4,0,7,7,0,4,1,0,1,0.419354838,0.485714285,0.548387096,0.4423551296486574,12575
"Total","Adrian Houser","NYM",23,154,6.42857143,37,11,0,27,25,3,14,0,2,26,0.270072992,0.344155844,0.416058394,0.33361960695935533,12718
"Total","Nick Martinez","CIN",29,147,1.44642857,32,14,0,7,6,1,5,0,0,29,0.226950354,0.25170068,0.34751773,0.25911916964719084,12730
"Total","Rafael Montero","HOU",35,78,2.84210526,14,2,0,6,6,2,8,0,3,14,0.208955223,0.32051282,0.328358208,0.29651070710940236,12760
"Total","Chris Devenski","TBR",17,57,11.11764706,15,2,1,15,14,6,10,0,0,13,0.319148936,0.438596491,0.787234042,0.5018123492859957,12763
"Total","Sonny Gray","STL",19,238,3.46524064,44,9,0,28,24,7,10,0,0,76,0.197309417,0.229787234,0.331838565,0.2437284028276484,12768
"Total","John Brebbia","CHW",39,92,5.31147541,26,4,0,12,12,2,4,0,1,24,0.298850574,0.336956521,0.413793103,0.3289571287839309,12777
