Name,playerId,Season,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Noah Davis,663562,Total,COL,9,54,0.00,21,3,0,0,0,2,3,0,0,8,.412,.444,.588,
Austin Hedges,595978,Total,CLE,1,3,0.00,0,0,0,0,0,0,1,0,0,0,.000,.333,.000,
Greg Weissert,669711,Total,BOS,59,150,0.00,37,5,0,0,0,1,7,0,0,35,.264,.293,.321,
Peter Lambert,663567,Total,COL,28,157,0.00,42,8,1,0,0,4,15,0,1,27,.302,.372,.460,
Casey Mize,663554,Total,DET,22,226,0.00,65,11,1,0,0,6,13,0,0,33,.305,.345,.451,
Yoshinobu Yamamoto,808967,Total,LAD,18,189,0.00,47,17,1,0,0,5,7,0,1,54,.263,.291,.453,
Carlos Rodriguez,692230,Total,MIL,3,30,0.00,8,0,0,0,0,2,3,0,0,3,.308,.367,.538,
Bailey Falter,663559,Total,PIT,28,463,0.00,105,25,1,0,0,14,39,0,0,78,.255,.316,.422,
Victor González,624647,Total,NYY,23,64,0.00,9,2,0,0,0,3,10,0,1,7,.170,.313,.377,
Elvis Peguero,665625,Total,MIL,52,139,0.00,31,3,0,0,0,3,19,1,1,27,.261,.367,.361,
Davis Daniel,669721,Total,LAA,6,62,0.00,21,5,0,0,0,3,3,0,0,13,.356,.387,.593,
Brandon Pfaadt,694297,Total,ARI,32,375,0.00,79,14,1,0,0,12,18,0,2,109,.224,.264,.371,
Brenan Hanifee,669724,Total,DET,21,83,0.00,21,3,1,0,0,1,2,0,0,15,.259,.277,.358,
Antonio Senzatela,622608,Total,COL,3,23,0.00,8,1,0,0,0,2,3,0,0,4,.400,.478,.750,
Stephen Kolek,663568,Total,SDP,40,119,0.00,36,7,0,0,0,4,7,0,1,24,.327,.373,.500,
Hayden Wesneski,669713,Total,CHC,28,159,0.00,31,4,0,0,0,8,13,0,0,42,.212,.277,.404,
Luis Medina,665622,Total,OAK,8,86,0.00,23,7,0,0,0,2,9,0,0,17,.311,.372,.486,
Tony Santillan,663574,Total,CIN,26,74,0.00,13,2,0,0,0,4,7,0,0,30,.194,.270,.403,
Seth Martinez,661527,Total,HOU,43,134,0.00,25,8,0,0,0,3,10,0,4,28,.210,.293,.353,
Deivi García,665620,Total,CWS,14,40,0.00,10,1,0,0,0,0,7,0,0,9,.313,.425,.344,
Adam Ottavino,493603,Total,NYM,58,152,0.00,27,2,0,0,0,2,12,0,3,45,.199,.278,.257,
Jakob Junis,596001,Total,CIN,24,148,0.00,27,10,0,0,0,3,5,0,3,31,.193,.236,.329,
Eduardo Rodriguez,593958,Total,ARI,10,181,0.00,48,13,1,0,0,6,13,1,1,39,.289,.343,.488,
Luis Gil,661563,Total,NYY,29,334,0.00,49,14,0,0,0,8,38,0,7,99,.170,.282,.302,
Slade Cecconi,677944,Total,ARI,20,174,0.00,53,14,0,0,0,9,7,0,1,38,.321,.351,.570,
Luis Guerrero,692285,Total,BOS,9,18,0.00,2,1,0,0,0,0,2,0,0,6,.133,.222,.200,
Wandy Peralta,593974,Total,SDP,42,104,0.00,20,2,0,0,0,4,9,0,1,14,.215,.288,.366,
Max Fried,608331,Total,ATL,29,557,0.00,101,11,1,0,0,8,43,0,4,128,.200,.266,.273,
Ryan Weathers,677960,Total,MIA,16,292,0.00,64,14,0,0,0,11,17,1,7,61,.242,.302,.419,
Tucker Barnhart,571466,Total,ARI,1,4,0.00,1,0,0,0,0,0,0,0,0,0,.250,.250,.250,
Zach Brzykcy,694350,Total,WSN,6,22,0.00,7,1,0,0,0,2,1,0,0,3,.333,.364,.667,
Kyle Tyler,667725,Total,MIA,8,66,0.00,12,1,0,0,0,1,9,0,1,11,.214,.333,.286,
Carson Fulmer,608334,Total,LAA,35,200,0.00,37,10,0,0,0,5,22,2,3,48,.214,.310,.358,
Jaden Hill,677955,Total,COL,9,23,0.00,5,0,0,0,0,2,2,0,1,3,.263,.348,.579,
Kumar Rocker,677958,Total,TEX,3,27,0.00,8,0,0,0,0,1,1,0,1,6,.348,.385,.478,
Spencer Strider,675911,Total,ATL,2,21,0.00,4,1,0,0,0,0,3,0,0,7,.222,.333,.278,
Jake Irvin,663623,Total,WSN,33,371,0.00,84,18,1,0,0,12,19,0,2,78,.240,.283,.400,
Jacob Lopez,682052,Total,TBR,4,29,0.00,2,0,0,0,0,2,4,0,1,4,.083,.241,.333,
Luis Severino,622663,Total,NYM,31,373,0.00,72,13,1,0,0,7,30,0,6,85,.216,.292,.323,
Cole Irvin,608344,Total,MIN,28,375,0.00,108,25,5,0,0,17,25,1,4,61,.318,.366,.571,
Jared Shuster,694363,Total,CWS,38,202,0.00,42,8,0,0,0,5,27,0,0,33,.243,.342,.376,
Randy Dobnak,677976,Total,MIN,5,24,0.00,5,2,1,0,0,0,2,0,0,3,.227,.292,.409,
Will Klein,694361,Total,OAK,8,21,0.00,5,3,0,0,0,0,3,0,0,5,.278,.381,.444,
David Hensley,682073,Total,MIA,1,4,0.00,1,0,0,0,0,0,0,0,1,0,.333,.500,.333,
Joel Payamps,606303,Total,MIL,65,126,0.00,17,3,0,0,0,1,11,2,2,33,.153,.240,.207,
Spencer Howard,675921,Total,CLE,9,75,0.00,29,5,1,0,0,2,9,0,0,11,.446,.514,.646,
Miguel Castro,612434,Total,ARI,11,40,0.00,14,3,1,0,0,3,2,0,1,4,.389,.436,.778,
Brennan Bernardino,657514,Total,BOS,50,108,0.00,25,5,0,0,0,1,15,6,4,23,.284,.407,.375,
José Soriano,667755,Total,LAA,22,203,0.00,46,10,0,0,0,4,24,0,5,46,.269,.371,.398,
Jose E. Hernandez,669796,Total,PIT,7,14,0.00,2,0,0,0,0,1,3,1,0,1,.182,.357,.455,
Mike Baumann,657508,Total,MIA,56,151,0.00,31,4,1,0,0,5,15,1,4,28,.240,.331,.403,
