Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Francisco Lindor","NYM",262,1153,53,177,160,51,0.091934084,0.185602775,0.219704433,0.273087071,0.256157635,0.336513443,0.475862068,0.34924494314731824,,126.75888259482801,7.294211636588443,44.44897228960538,20.51282692840323,10.557882852421473,"Francisco Lindor",12916,596019
"Ketel Marte","ARI",248,1086,47,164,146,14,0.105893186,0.170349907,0.21871714,0.305061559,0.283911671,0.361878453,0.502628811,0.3677252711303159,,134.47258650866928,0.8379801458213478,45.89788068631519,5.18292443593964,8.930816191829914,"Ketel Marte",13613,606466
"Adley Rutschman","BAL",249,1114,37,136,141,2,0.117594254,0.154398563,0.16168898,0.297016861,0.273944387,0.359066427,0.435633367,0.3449847372164562,,124.21634454156045,-3.269605466397479,28.734404424573114,14.64825475239195,8.151283073017884,"Adley Rutschman",26288,668939
"José Ramírez","CLE",255,1121,48,159,162,46,0.092774308,0.116859946,0.212512413,0.277511961,0.278053624,0.344335414,0.490566037,0.3487739099153786,,126.60502093276214,5.166091336170211,40.36567656830405,0.6324442540062591,7.9626097142778995,"Jose Ramirez",13510,608070
"Elly De La Cruz","CIN",199,863,31,137,89,86,0.096176129,0.323290845,0.204161248,0.347826086,0.248374512,0.326744186,0.45253576,0.33552045549187703,,108.61868065873897,14.742122241761535,23.02201914304259,16.018106300383806,6.998751532737689,"Elly De La Cruz",26668,682829
"Cal Raleigh","SEA",243,951,50,118,137,5,0.098843322,0.292323869,0.217237309,0.265267175,0.223140495,0.302839116,0.440377804,0.31931350645319084,,108.47714589898399,-3.644887180067599,5.954876488254477,30.14185465290211,6.8805366154666885,"Cal Raleigh",21534,663728
"Patrick Bailey","SFG",173,641,14,62,81,4,0.079563182,0.251170046,0.129757786,0.320293398,0.250865051,0.311912225,0.380622837,0.3034749980256849,,95.43907844269418,0.10027041387365898,-3.8457011831038486,44.07553257094696,6.310192086560845,"Patrick Bailey",27478,672275
"Willi Castro","MIN",225,820,16,117,66,43,0.085365853,0.236585365,0.153417016,0.332681017,0.259414225,0.34596577,0.412831241,0.33338023202363837,,115.67422378941197,3.818854119628668,18.872196870263814,5.84710601856932,5.296714538360206,"Willi Castro",17338,650489
"Ozzie Albies","ATL",238,1054,41,143,155,21,0.066413662,0.159392789,0.201671891,0.288157894,0.27168234,0.326045627,0.473354231,0.3409674876076835,,114.84196943614907,3.4306943654082716,22.82209189339891,-6.6225507240742445,5.21863292986602,"Ozzie Albies",16556,645277
"Ian Happ","CHC",256,1096,37,140,144,21,0.137773722,0.239963503,0.193304535,0.298107255,0.244060475,0.354014598,0.43736501,0.3451446451294455,,120.10712104682017,0.6841179836774245,27.332317282644787,-14.896615583391394,5.007577067906903,"Ian Happ",17919,664023
"Wander Franco","TBR",112,491,17,65,58,30,0.085539714,0.140529531,0.194570136,0.297222222,0.280542986,0.344195519,0.475113122,0.34886356577521466,,127.42859079080058,2.889069559983909,19.02587510752958,13.070622060447931,4.878395899383522,"Wander Franco",23667,677551
"Anthony Santander","BAL",250,1066,56,136,162,6,0.077861163,0.213883677,0.23987539,0.272594752,0.252336448,0.318011257,0.492211838,0.34558319043665425,,124.60249259761632,-2.112734648748301,28.793442426082212,-16.73248651548056,4.857062105470193,"Anthony Santander",14551,623993
"Bryan Reynolds","PIT",246,1090,42,134,145,17,0.082568807,0.212844036,0.196938776,0.31652661,0.273469387,0.339449541,0.470408163,0.3477116068679473,,119.85160677846496,2.026945039979182,27.83163916635492,-21.83265004400164,4.362377568831645,"Bryan Reynolds",19326,668804
